,description,id,url,name,profile_image_url,public_metrics,verified,username,protected,location,pinned_tweet_id,entities
22,🌱 vegan ☕️ coffee 🎶 bass has my heart 28 / she/her / Toronto,2704288674,,angel 🔜 LOST LANDS BABYYYY,https://pbs.twimg.com/profile_images/1442652104011788292/Vok-eA1v_normal.jpg,"{'followers_count': 787, 'following_count': 527, 'tweet_count': 54732, 'listed_count': 14}",False,jackfalafel_,False,,,
23,#Venezolana en disidencia de la #dictadura | Sobreviviendo y trabajando por mi #Venezuela | La hija del medio apodada chupetica de ajo,44170716,,DaniellaVdE,https://pbs.twimg.com/profile_images/1271507874942980096/wA6tD82S_normal.jpg,"{'followers_count': 279, 'following_count': 591, 'tweet_count': 20363, 'listed_count': 4}",False,daniellaVdE,False,"Caracas, Venezuela",1001306543504199680,"{'description': {'hashtags': [{'start': 0, 'end': 11, 'tag': 'Venezolana'}, {'start': 32, 'end': 42, 'tag': 'dictadura'}, {'start': 79, 'end': 89, 'tag': 'Venezuela'}]}}"
24,Music. Horror Movies. Books. Mental Health. Nature. LGBT+. Cannabis. Get vaxxed! Opinions=mine. Don’t like? keep scrolling! Trouble makers get blocked.,228703627,,Dan MacDonald,https://pbs.twimg.com/profile_images/1497926182989348864/kx8WUgmN_normal.jpg,"{'followers_count': 4904, 'following_count': 4865, 'tweet_count': 16115, 'listed_count': 21}",False,danmac800,False,Windsor - Detroit,,
25,口答え系V 10年前の香りがするし収益化するまで動かないけど何か？ お誘い等はDMで 声優になりてぇ〜〜〜〜〜〜〜 リスナー名:なえ床 箱: https://t.co/c0VuwJeUrI #ドスケベFAリスト 2期生 普段の固定はツリーにあるよ,1356867798790664193,https://t.co/BPZ5UyZwR1,七重苗🎰🌱ポケットにファンタジー歌ってみた,https://pbs.twimg.com/profile_images/1522171624371367936/-jz1aFK8_normal.jpg,"{'followers_count': 886, 'following_count': 669, 'tweet_count': 42181, 'listed_count': 69}",False,77e_Nae,False,企業に見えるかよ.com,1522171509476708352,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/BPZ5UyZwR1', 'expanded_url': 'https://youtube.com/channel/UCvCmKkObwmfWxLVEtkBZ6Wg', 'display_url': 'youtube.com/channel/UCvCmK…'}]}, 'description': {'urls': [{'start': 71, 'end': 94, 'url': 'https://t.co/c0VuwJeUrI', 'expanded_url': 'http://peing.net/ja/77e_nae', 'display_url': 'peing.net/ja/77e_nae'}], 'hashtags': [{'start': 95, 'end': 105, 'tag': 'ドスケベFAリスト'}]}}"
26,分子科学研究所（分子研）共同利用推進室 室長／戦略室／機器センター分析チーム チームリーダーの中村敏和です．磁気共鳴（電子スピン共鳴，核磁気共鳴）で凝縮系の電子状態を調べておりまする．あまり研究のtweetは出てきません．つぶやきは個人の意見で，所属機関の公式見解ではありません（お約束の枕詞）．イエスマン,104997483,,中村敏和⊿,https://pbs.twimg.com/profile_images/3620969711/e3a1f4330cdc6c11be093b2936e7f22d_normal.jpeg,"{'followers_count': 1939, 'following_count': 1202, 'tweet_count': 57348, 'listed_count': 130}",False,ims_nakamura,False,岡崎市（on 回転座標系）,,
27,Marketing/Communications focused on Transportation Industry,1978799772,,"Laura F., CPSM",https://pbs.twimg.com/profile_images/1157125681035300864/7oAApycD_normal.jpg,"{'followers_count': 309, 'following_count': 237, 'tweet_count': 3295, 'listed_count': 12}",False,Laura_CPSM,False,,,
28,,1051356324,,Orieb Sweis,https://pbs.twimg.com/profile_images/378800000014404257/b28d36935ebe609093f1ffee8ab85da7_normal.jpeg,"{'followers_count': 82, 'following_count': 336, 'tweet_count': 417, 'listed_count': 2}",False,obsweis87,False,,,
29,"Dad of 5 (Biological and Adopted!), Husband, Lead SQL Server DBA in Healthcare. Fixer of things. Occasional musician. Probably completely nuts. He/him.",162488073,https://t.co/phoGKwohsD,Jesse Kozloski,https://pbs.twimg.com/profile_images/1236257589/twitter_egg_cracked_normal.png,"{'followers_count': 205, 'following_count': 760, 'tweet_count': 547, 'listed_count': 6}",False,jessekozloski,False,"Cedar Rapids-ish, IA",775853182056398848,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/phoGKwohsD', 'expanded_url': 'https://kozloski.net', 'display_url': 'kozloski.net'}]}}"
30,海外フルマラソンが趣味（ホノルル、フィレンツェ、NY、上海、オークランド、ディズニーワールド、フランクフルト、沖縄、イスタンブール、東京、香港、台北）。The Chainsmokersがマイブーム。「トゥルー・ロマンス」を愛してます。下北沢がmy home town。パリか京都かNZに移住したい。,452127259,,sudomitsu,https://pbs.twimg.com/profile_images/647916377836118016/-MNirl7p_normal.jpg,"{'followers_count': 116, 'following_count': 623, 'tweet_count': 7091, 'listed_count': 0}",False,mitsu_yoshi_228,False,,,
31,音楽が大好きで、朝起きてから夜寝るまでずっと音楽を聞く日々。ピアノ教室やってます。FM802リスナー📻,1472347535188819968,,計算する人おけいさん,https://pbs.twimg.com/profile_images/1476702182687019008/R8WieCvr_normal.jpg,"{'followers_count': 1, 'following_count': 13, 'tweet_count': 61, 'listed_count': 0}",False,jZHT6FYUn2mNUvD,False,和歌山県田辺市,,
32,@trails_my | Season Rocker.,1343151956475273216,,Hanif Z 🏴,https://pbs.twimg.com/profile_images/1344658150301941760/yzPymx_a_normal.jpg,"{'followers_count': 139, 'following_count': 215, 'tweet_count': 7312, 'listed_count': 0}",False,nxpzoid,False,,1491054522994925571,"{'description': {'mentions': [{'start': 0, 'end': 10, 'username': 'trails_my'}]}}"
33,,2237078785,,lynda hosking,https://pbs.twimg.com/profile_images/979853090345033728/Pz3pQURe_normal.jpg,"{'followers_count': 81, 'following_count': 289, 'tweet_count': 517, 'listed_count': 1}",False,lynda_hosking,False,,,
34,"Just a rebelious nerd who keeps dreaming, researching, reading, and writing and will never grow up. Animal lover and scientist-in-the-making. Hopefully.",1454799620077330432,,Eyre Rogue🦅🦉🐦🦆,https://pbs.twimg.com/profile_images/1454805707102982150/Pn8RIBuH_normal.jpg,"{'followers_count': 0, 'following_count': 4, 'tweet_count': 81, 'listed_count': 0}",False,EyreRogue,False," Universe, Mlkywy, Plnt Earth.",,
35,Here for tennis updates,771432428015587329,,bubsonidlo,https://pbs.twimg.com/profile_images/868795639982960641/KzeiD6CE_normal.jpg,"{'followers_count': 43, 'following_count': 515, 'tweet_count': 1130, 'listed_count': 0}",False,MilyBubson,False,,,
36,"The official account
/
Forza Inter",818469806,https://t.co/zNFZ6CUkia,Ali قachmar,https://pbs.twimg.com/profile_images/1474889442070601728/l42L-HHg_normal.jpg,"{'followers_count': 1785, 'following_count': 1125, 'tweet_count': 179839, 'listed_count': 11}",False,kachmarali,False,"Ferrara, Emilia Romagna",1485923115712585732,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/zNFZ6CUkia', 'expanded_url': 'https://www.instagram.com/kachmarali/', 'display_url': 'instagram.com/kachmarali/'}]}}"
37,,88649570,https://t.co/l998hT3DQX,Ken Flores,https://pbs.twimg.com/profile_images/1457522928266874880/1omTThqS_normal.jpg,"{'followers_count': 127, 'following_count': 100, 'tweet_count': 4523, 'listed_count': 8}",False,yeeitsken,False,"Sydney, Australia",,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/l998hT3DQX', 'expanded_url': 'https://www.instagram.com/yeeitsken', 'display_url': 'instagram.com/yeeitsken'}]}}"
38,"Domador de ballenas en mi tiempo libre.

Experto en lectura a oscuras.

Saltador profesional de trampolín sin trampolín.
🤙",1493949175079358474,,Pedro Parra Díaz,https://pbs.twimg.com/profile_images/1493961515329896450/f8dAOkBx_normal.jpg,"{'followers_count': 61, 'following_count': 88, 'tweet_count': 93, 'listed_count': 0}",False,Pedroparradiaz,False,"Balazote, España",,
39,,303238704,,Per-Erik Andersson,https://pbs.twimg.com/profile_images/893134409347457024/nYmT22L-_normal.jpg,"{'followers_count': 0, 'following_count': 106, 'tweet_count': 108, 'listed_count': 0}",False,PerErikA69,False,"Gothenburg, Sweden",,
40,,263341597,,Macarena Dominguez,https://pbs.twimg.com/profile_images/1342684182103863297/0h36Qr_V_normal.jpg,"{'followers_count': 118, 'following_count': 160, 'tweet_count': 2809, 'listed_count': 0}",False,kqdominguez,False,,,
41,元シアトル住人。ビートルズ、60年代と70年代の洋楽、Perfume、リバプールFCが好き。ゲームはスターウォーズ銀河の英雄。パリ旅行したい。,716406671044509697,,ゾエさんパート２,https://pbs.twimg.com/profile_images/716410255526072320/c8OWTAi-_normal.jpg,"{'followers_count': 144, 'following_count': 139, 'tweet_count': 10839, 'listed_count': 0}",False,masakawazoe3,False,日本,,
42,I pretty much just play Wordle and talk about my husband. 😾😻😼👩🏾‍🤝‍👨🏼,1345187453158776833,,Black And Tan,https://pbs.twimg.com/profile_images/1345192311437844480/CF0Hfoqa_normal.jpg,"{'followers_count': 11, 'following_count': 52, 'tweet_count': 208, 'listed_count': 0}",False,BlackandTanner,False,"Columbus, OH",,
43,,472344062,,Ovayo,https://pbs.twimg.com/profile_images/1355515087071678466/JCiobaF5_normal.jpg,"{'followers_count': 471, 'following_count': 867, 'tweet_count': 6173, 'listed_count': 0}",False,Ovayomonti,False,Cape Town,,
44,"Overly invested film lover with an MA in that.
Yoga teacher.
Smash the patriarchy.
fcknzs. 
BLM.
🇪🇺
she/her",2867427836,,Furious Femme,https://pbs.twimg.com/profile_images/1342510189405237249/BV2SFY0z_normal.jpg,"{'followers_count': 85, 'following_count': 736, 'tweet_count': 6295, 'listed_count': 3}",False,jana_hase,False,"London, England",1050740056913272832,
45,,1916774300,,Will Joy,https://pbs.twimg.com/profile_images/378800000525002362/348a42ab7cd47976e2b1b0d17d9f0473_normal.jpeg,"{'followers_count': 197, 'following_count': 873, 'tweet_count': 9950, 'listed_count': 1}",False,willjoy13,False,"Catterick Garrison, England",1485021883972075521,
46,"Мондштадтская Элла Маск, иди нахуй",2269036182,,💙💛𝙰𝚜𝚝𝚛𝚘𝚁𝚊𝚋𝚋𝚒𝚝 🇪🇺,https://pbs.twimg.com/profile_images/1500915305761153024/7-2VzxFF_normal.jpg,"{'followers_count': 4, 'following_count': 6, 'tweet_count': 520, 'listed_count': 0}",False,scanditalia,False,Мир иной,1280504093560180742,
47,,985505835580211200,,txm,https://pbs.twimg.com/profile_images/1428910759963095040/DCqOypcn_normal.jpg,"{'followers_count': 139, 'following_count': 154, 'tweet_count': 16044, 'listed_count': 0}",False,izhxmkxm31,False,KL,1266320401988124672,
48,her gecenin sabahı olmaz,4889791421,https://t.co/cWZ8k8bIjH,sikkofield,https://pbs.twimg.com/profile_images/1513281103934758917/hUWmTCEO_normal.jpg,"{'followers_count': 5044, 'following_count': 368, 'tweet_count': 33945, 'listed_count': 9}",False,sikkofieId,False,izmit,938864463956140032,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/cWZ8k8bIjH', 'expanded_url': 'http://instagram.com/hasanbrkay', 'display_url': 'instagram.com/hasanbrkay'}]}}"
49,"I'll cross the Rubicon. Alea iacta est.
Lic., M.A., PhD, pero sobre todo mujer, y madre peleona de dos niñas maravillosas.",254915951,,SinNombre,https://pbs.twimg.com/profile_images/1103518891341430790/yCNRVqCE_normal.jpg,"{'followers_count': 1648, 'following_count': 2039, 'tweet_count': 130846, 'listed_count': 77}",False,Sin_N0mbre_,False,Madrid,1014988676290482176,
50,dunkie junkie,130696220,,✏✏✏,https://pbs.twimg.com/profile_images/1496619180111638530/k0XyJOvd_normal.jpg,"{'followers_count': 2142, 'following_count': 2525, 'tweet_count': 69690, 'listed_count': 91}",False,jackeelantern,False,"Illinois, USA",1239695686226055169,
51,最近はWW1・WW2のルーマニアに吸血鬼が出る話を書いています。WW2期ヨーロッパのホロコースト他の同人誌も書きました。実在しない生き物とソシャゲの話を時々します。そんなかんじ。,815827978642784256,https://t.co/77O6UXh4kS,ミド,https://pbs.twimg.com/profile_images/1146741005506322432/A157PhZ__normal.jpg,"{'followers_count': 134, 'following_count': 131, 'tweet_count': 18998, 'listed_count': 5}",False,mid_rhimthy,False,,1520768535500255233,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/77O6UXh4kS', 'expanded_url': 'https://nbk.booth.pm/', 'display_url': 'nbk.booth.pm'}]}}"
52,,233228829,,Doug McKinney,https://pbs.twimg.com/profile_images/554423779867512833/Bs9qmg34_normal.jpeg,"{'followers_count': 29, 'following_count': 206, 'tweet_count': 954, 'listed_count': 0}",False,dugmick,False,,,
53,her sister was a witch,1513606107159277572,,🧚‍♀️,https://pbs.twimg.com/profile_images/1521041693356793858/rTOOCaFN_normal.jpg,"{'followers_count': 23, 'following_count': 32, 'tweet_count': 128, 'listed_count': 0}",False,ecoyrt,False,,,
54,Here be dragons she/they,7874632,,Sewer Druid (Wannabe),https://pbs.twimg.com/profile_images/892254037650751488/syzNyBgj_normal.jpg,"{'followers_count': 1712, 'following_count': 291, 'tweet_count': 23680, 'listed_count': 48}",False,allisonr,False,The Pilliga - Gamilaroi Land.,,
55,"Happily married. Love food, photography, NYC, tech, running, friends, family. Med/sci/pharma communication consultant.",83759359,https://t.co/2ub5egFrab,Steven Cohen,https://pbs.twimg.com/profile_images/1198541024/IMG_0983LR_Edit_3_normal.jpg,"{'followers_count': 296, 'following_count': 660, 'tweet_count': 15204, 'listed_count': 7}",False,StevenC_in_NYC,False,NYC,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/2ub5egFrab', 'expanded_url': 'http://flickr.com/stevenc_in_nyc/sets', 'display_url': 'flickr.com/stevenc_in_nyc…'}]}}"
56,"Venezolana, arquitecto UCV, me gusta leer 📚, el cine, la música 🎵 , ❤️ mis hijos y nietos y el café 😉",127919626,,marina cabruja,https://pbs.twimg.com/profile_images/1500098557524725765/Yc8UDaT4_normal.jpg,"{'followers_count': 153, 'following_count': 380, 'tweet_count': 4125, 'listed_count': 0}",False,omcabruja,False,"Caracas, Venezuela",,
57,ときめきアイドルをメインに諸々雑食の趣味アカウントです。 川口夏海最推しのみんな大好き。楽しみたい。楽しませたい。アイコンは@tomonin_ils 作。,1021725861727195136,,籐耶,https://pbs.twimg.com/profile_images/1133332644425478144/jWBe9TkS_normal.jpg,"{'followers_count': 183, 'following_count': 174, 'tweet_count': 49108, 'listed_count': 13}",False,touya_tkdl,False,,,"{'description': {'mentions': [{'start': 62, 'end': 74, 'username': 'tomonin_ils'}]}}"
58,Rehabilitated economist. RT not endorsements.,252782518,,Ed Fine,https://pbs.twimg.com/profile_images/808383175328223232/d7J98qSV_normal.jpg,"{'followers_count': 173, 'following_count': 541, 'tweet_count': 11036, 'listed_count': 1}",False,Ed3463,False,"Ottawa, Ontario",,
59,懸賞応募用♡観覧用♡当選報告します♡,1448072888418983939,,mikitty,https://pbs.twimg.com/profile_images/1448073229835325441/pNoyKdrr_normal.jpg,"{'followers_count': 3, 'following_count': 146, 'tweet_count': 1311, 'listed_count': 0}",False,mikitty__0831,False,,,
60,ぽけもそXD/エグゼ✋(ブルース) RTA配信,172209020,https://t.co/CkreZeUsIi,metamos,https://pbs.twimg.com/profile_images/1455045204063719424/0TGpvNC5_normal.png,"{'followers_count': 181, 'following_count': 185, 'tweet_count': 7565, 'listed_count': 3}",False,metamos77,False,sinの体内,1484616022942310401,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/CkreZeUsIi', 'expanded_url': 'http://twitch.tv/metamos77', 'display_url': 'twitch.tv/metamos77'}]}}"
61,She/her. Umineko. De vez en cuando subo dibujitos en @gryssion y me gusta (mucho) jugar a rol. pfp: @sofia_mc__,1347532286250639362,,disaster,https://pbs.twimg.com/profile_images/1428463333896753156/835Z9W7k_normal.jpg,"{'followers_count': 60, 'following_count': 203, 'tweet_count': 2082, 'listed_count': 0}",False,flanertoska,False,,1395506847642234881,"{'description': {'mentions': [{'start': 53, 'end': 62, 'username': 'gryssion'}, {'start': 100, 'end': 111, 'username': 'sofia_mc__'}]}}"
62,"Physikerin, Fotografin, Exkursionsleiterin, Umweltbeobachterin. Romancière. Protestantin
Freundin von Wissenschaft, Kunst, Musik, Büchern, Bäumen, Gerechtigkeit",4866071793,https://t.co/fCrze5qQ3j,Elke Glatzer 4💉 🦣 @EGlatzer@nrw.sozial,https://pbs.twimg.com/profile_images/1478072058328268805/hF5J-p1x_normal.jpg,"{'followers_count': 847, 'following_count': 479, 'tweet_count': 24702, 'listed_count': 9}",False,GlatzerElke,False,"Köln, Deutschland",1486841350742061064,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/fCrze5qQ3j', 'expanded_url': 'https://www.fotografie-glatzer.de', 'display_url': 'fotografie-glatzer.de'}]}}"
63,"UX Designer, Graphic and Web Designer, Photographer, 200-hr Yoga Teacher, Somatics practioner, knitter, potter.",15610411,https://t.co/R6uTvxODw7,deb (taylor’s version),https://pbs.twimg.com/profile_images/57266340/deb2_normal.jpg,"{'followers_count': 110, 'following_count': 112, 'tweet_count': 1705, 'listed_count': 0}",False,debmac,False,Auckland,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/R6uTvxODw7', 'expanded_url': 'http://astralgraphics.net', 'display_url': 'astralgraphics.net'}]}}"
64,"Product Manager on the Amazon DynamoDB team.  Comments here are my personal opinion.  I tweet on DynamoDB, indexed data storage, AWS.",1120884805506195457,,pete_naylor@AWS,https://pbs.twimg.com/profile_images/1190313391140802560/LTT98lOl_normal.jpg,"{'followers_count': 418, 'following_count': 319, 'tweet_count': 811, 'listed_count': 6}",False,pete_aws,False,"Near Seattle, WA, USA.",,
65,"football fanatic, basketball aficionado, avid reader, work out because it's a necessity, family and friends and my faith in the Lord is what keeps me going",76798656,,Libradiva,https://pbs.twimg.com/profile_images/1414720043212894208/F5Uz6Thq_normal.jpg,"{'followers_count': 78, 'following_count': 96, 'tweet_count': 10464, 'listed_count': 0}",False,LVDiva1020,False,The 702 area ,,
66,,626944897,,zailanmdyusof,https://pbs.twimg.com/profile_images/1363453398872256512/Rj1MyxUc_normal.jpg,"{'followers_count': 5, 'following_count': 42, 'tweet_count': 520, 'listed_count': 0}",False,zailanmdyusof,False,,,
67,"Lives in NJ, loves her family, Maui, art, going to plays in the city, and working with kids.",1729194336,,Dawn Steinberg,https://pbs.twimg.com/profile_images/378800000411329639/0bdb097d36e3c0724bc20209c09c109b_normal.jpeg,"{'followers_count': 182, 'following_count': 209, 'tweet_count': 33048, 'listed_count': 5}",False,dawnsteinberg,False,New Jersey,,
68,古明地さとり / 1灯 / #LED再現,1950810974,,しゆぎん,https://pbs.twimg.com/profile_images/1331704609870516227/E_j6186h_normal.jpg,"{'followers_count': 1264, 'following_count': 1186, 'tweet_count': 245171, 'listed_count': 23}",False,shiyugin,False,,1472878401719799812,"{'description': {'hashtags': [{'start': 14, 'end': 20, 'tag': 'LED再現'}]}}"
