,location,name,protected,url,verified,public_metrics,description,profile_image_url,username,id,entities,pinned_tweet_id
14,,In 2022…? 🤦🏾‍♀️🥴,False,,False,"{'followers_count': 347, 'following_count': 939, 'tweet_count': 5478, 'listed_count': 6}",“There’s a time for everything.” Believer. Haitian 🇭🇹. Camera Girl. Blerd. FAMU Alum 🐍 | FSU Film 🎞. Local 600.,https://pbs.twimg.com/profile_images/1447970044936339462/MIid_tNP_normal.jpg,TeamLilMandy,596999610,,
15,,Where the money Reside,False,,False,"{'followers_count': 414, 'following_count': 478, 'tweet_count': 5161, 'listed_count': 2}",,https://pbs.twimg.com/profile_images/1170887289926508544/JWxzgfrj_normal.jpg,Phearlesslife,891453302,,
16,,Hang Yin,False,https://t.co/QhxNEFMbHg,False,"{'followers_count': 16, 'following_count': 154, 'tweet_count': 175, 'listed_count': 0}",Pokémon Master丨3rd Class Alchemist丨PhD Student @ANUChemistry,https://pbs.twimg.com/profile_images/1041330436000047106/n2m9J3K0_normal.jpg,HYin531,3232500793,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/QhxNEFMbHg', 'expanded_url': 'https://scholar.google.com/citations?user=DV510jMAAAAJ&hl=en', 'display_url': 'scholar.google.com/citations?user…'}]}, 'description': {'mentions': [{'start': 47, 'end': 60, 'username': 'ANUChemistry'}]}}",
17,,camila,False,https://t.co/fZbaCE0otJ,False,"{'followers_count': 281, 'following_count': 400, 'tweet_count': 139927, 'listed_count': 2}","me gusta cuando es mi cumpleaños 🎀
                    pan queso y batata",https://pbs.twimg.com/profile_images/1505585477792894980/iGS65Cpb_normal.jpg,xcandora,795828025514397696,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/fZbaCE0otJ', 'expanded_url': 'https://open.spotify.com/user/21rghgcx3hnpqez73rufjjcny?si=_vT4awQkTmmnQExaO0pPfw', 'display_url': 'open.spotify.com/user/21rghgcx3…'}]}}",1460390010969018375
18,"Indiana, USA",𝚋𝚎𝚝𝚑🌹💖,False,https://t.co/GXhd1mA9fp,False,"{'followers_count': 774, 'following_count': 2641, 'tweet_count': 9197, 'listed_count': 1}",𝟸𝟶 ♡ 𝚜𝚑𝚎/𝚑𝚎𝚛 ♡ 𝚝𝚠𝚒𝚝𝚌𝚑 𝚠𝚊𝚝𝚌𝚑𝚎𝚛 𝚊𝚗𝚍 𝚖𝚘𝚍 ♡ 𝙹𝚞𝚜𝚝 𝙳𝚊𝚗𝚌𝚎𝚛 ♡ 𝚆𝚎𝚎𝚣𝚎𝚛 𝚎𝚗𝚝𝚑𝚞𝚜𝚒𝚊𝚜𝚝 ♡ 𝚜𝚞𝚗𝚏𝚕𝚘𝚠𝚎𝚛 𝚕𝚘𝚟𝚎𝚛 ♡,https://pbs.twimg.com/profile_images/1446633426719813632/MpozDT8-_normal.jpg,xbetherlyhillsx,1117917770459615232,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/GXhd1mA9fp', 'expanded_url': 'http://twitch.tv/xbetherlyhillsx', 'display_url': 'twitch.tv/xbetherlyhillsx'}]}}",1216570481781899271
19,"Poinciana, FL",Jonathan,False,,False,"{'followers_count': 171, 'following_count': 715, 'tweet_count': 6042, 'listed_count': 0}",𝙋𝙤𝙨𝙞𝙩𝙞𝙫𝙚 𝙫𝙞𝙗𝙚𝙨 𝙤𝙣𝙡𝙮 NY✈️FL #LLPS 💫🕊,https://pbs.twimg.com/profile_images/1499182834233315328/u7RWskmV_normal.jpg,Jonathanc_32,2509882557,"{'description': {'hashtags': [{'start': 27, 'end': 32, 'tag': 'LLPS'}]}}",1362564761355960321
20,Land of the Dhudhuroa people ,jennifer,False,,False,"{'followers_count': 553, 'following_count': 1286, 'tweet_count': 5229, 'listed_count': 0}","Midwife RN ICU and ED retired thank God
always ALP except when an Indep can knock off a Lib - strategy",https://pbs.twimg.com/profile_images/1173935715228377096/S3fxi8Ds_normal.jpg,GumtreeKoalas,452561321,,1518004506125950976
21,Chilliwack,Dr. Drew Brayshaw,False,http://t.co/dlSkEsJe96,False,"{'followers_count': 774, 'following_count': 686, 'tweet_count': 28202, 'listed_count': 15}",Hydrologist photographer sarcastic dude,https://pbs.twimg.com/profile_images/1492338064697430017/3uyxqunb_normal.jpg,DrewBrayshaw,400235539,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/dlSkEsJe96', 'expanded_url': 'http://www.flickr.com/photos/druclimb/', 'display_url': 'flickr.com/photos/druclim…'}]}}",
22,🇨🇦 || she/they,paige @ 🏴‍☠️🏳️‍🌈💕,False,,False,"{'followers_count': 435, 'following_count': 1148, 'tweet_count': 31395, 'listed_count': 2}",anointed sovereign of sighs and groans // 24 . museum studies + information 🏛 // matching icons with lovely @birbyatta 🥋,https://pbs.twimg.com/profile_images/1508641526062190593/DBDhD3HB_normal.jpg,paladinpeachs,560474051,"{'description': {'mentions': [{'start': 108, 'end': 118, 'username': 'birbyatta'}]}}",
23,,m c murray,False,,False,"{'followers_count': 98, 'following_count': 443, 'tweet_count': 10189, 'listed_count': 4}",Oregon '13.,https://pbs.twimg.com/profile_images/567029483505344512/dhs-mEtd_normal.jpeg,notreallymurrda,26895563,,1168033262159028225
24,"Cedar Rapids, IA",jake,False,,False,"{'followers_count': 677, 'following_count': 552, 'tweet_count': 23757, 'listed_count': 2}","Sports, food, ethical hacking 💻",https://pbs.twimg.com/profile_images/1520407829869469697/PltIZTQV_normal.jpg,JakeFromIowa,1378291688,,
25,,Suzi Rowland,False,,False,"{'followers_count': 51, 'following_count': 124, 'tweet_count': 1721, 'listed_count': 0}","Loves midnight reading , cooking and sewing(not at midnight). Will speak Spanish with anyone that will waffle with me!!",https://pbs.twimg.com/profile_images/3136764561/491558d551ae393d96dde61eb6c3a76e_normal.jpeg,semolina59,421213838,,
26,"Sevilla, España",Lucía Juan Maldonado,False,,False,"{'followers_count': 177, 'following_count': 144, 'tweet_count': 12947, 'listed_count': 6}","TSEASD
Wanderlust",https://pbs.twimg.com/profile_images/1049059174804598784/uo-5uFIh_normal.jpg,LuciaJuanMaldon,415699208,,
27,"Pittsburgh, PA","Cheers, Sweetie!🥂",False,,False,"{'followers_count': 582, 'following_count': 1596, 'tweet_count': 41798, 'listed_count': 14}","Big fan of bad movies, the 'burgh, KDramas, reading, and I like to cook.
Bourbon!  Discovered #TCMParty right after the 2016 election. The rest is history.",https://pbs.twimg.com/profile_images/678362035990765568/X_hSClYK_normal.jpg,janinefrompgh,23627634,"{'description': {'hashtags': [{'start': 94, 'end': 103, 'tag': 'TCMParty'}]}}",
28,Jacksonville Florida,Patrick Johnson,False,,False,"{'followers_count': 54, 'following_count': 718, 'tweet_count': 423, 'listed_count': 0}","Believer, Conservative, Desert Storm vet, Aerospace industry worker, Praise band bass player, Jaguars fan and Scenic Fabricator/Carpenter",https://pbs.twimg.com/profile_images/1474664778/Pat_normal.jpg,pajohnson45,40949228,,
29,"Verde Valley, AZ",Cynde 🇺🇦,False,,False,"{'followers_count': 851, 'following_count': 835, 'tweet_count': 38607, 'listed_count': 2}","I trained for the ZombieApocalypse™️, not autocracy. I joined in 2008, don’t believe a word of this bio.",https://pbs.twimg.com/profile_images/1518312291451645953/M2nRp6xN_normal.jpg,_cynde__,1345768269840433152,,
30,"Gacha Hell, boiler room",Pessimistic Optimist 🫗,False,,False,"{'followers_count': 17, 'following_count': 156, 'tweet_count': 1018, 'listed_count': 0}","My friends call me... Mike. Gamer, Reader, Armchair Philosopher. Nothing special. (Mute ""#starttheargument"" in case I get political.)",https://pbs.twimg.com/profile_images/1508906800577490945/d21VBOvq_normal.jpg,TheJaunted,1503467561983299584,"{'description': {'hashtags': [{'start': 89, 'end': 106, 'tag': 'starttheargument'}]}}",1519004184179359745
31,"Ontario, Canada",Nikki 🙋🏻‍♀️🛸👽,False,,False,"{'followers_count': 308, 'following_count': 108, 'tweet_count': 46547, 'listed_count': 5}","“Well, fuck the fucking tea!”",https://pbs.twimg.com/profile_images/1447246112448987148/xax8dFiG_normal.jpg,starlightbeach,1066857046908104704,,1434978152007221253
32,,B,False,,False,"{'followers_count': 63, 'following_count': 1327, 'tweet_count': 2126, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/754393099632115712/L1AfDNeh_normal.jpg,CurrentlyCranky,25166008,,
33,,Lee Caroline,False,,False,"{'followers_count': 17, 'following_count': 251, 'tweet_count': 613, 'listed_count': 0}","If memory serves, I'm addicted to words and they're useless in this department.",https://pbs.twimg.com/profile_images/1121902040517627907/wmoKe5Ip_normal.jpg,wishinwell,28007401,,
34,Follow my TikTok :,leeHD1,False,,False,"{'followers_count': 2, 'following_count': 15, 'tweet_count': 56, 'listed_count': 0}","Follow my TikTok : https://t.co/YN1vTfmxz4
Follow my YouTube: https://t.co/Bpi9SNvJ18…",https://pbs.twimg.com/profile_images/1430127233621020696/NmFR-XT1_normal.jpg,Lee_HD1,1430127111017320469,"{'description': {'urls': [{'start': 19, 'end': 42, 'url': 'https://t.co/YN1vTfmxz4', 'expanded_url': 'https://www.tiktok.com/@leehd1', 'display_url': 'tiktok.com/@leehd1'}, {'start': 62, 'end': 85, 'url': 'https://t.co/Bpi9SNvJ18', 'expanded_url': 'http://youtube.com/channel/UCyxjj', 'display_url': 'youtube.com/channel/UCyxjj'}]}}",
35,"Bahía Blanca, Argentina",Diego Blanco,False,https://t.co/Ij0gXPHMKy,False,"{'followers_count': 129, 'following_count': 227, 'tweet_count': 8457, 'listed_count': 4}",CASLA,https://pbs.twimg.com/profile_images/1507070382699794444/vL82I3xC_normal.jpg,Diegomanublanco,260056763,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Ij0gXPHMKy', 'expanded_url': 'http://instagram.com/diego.blancoo/', 'display_url': 'instagram.com/diego.blancoo/'}]}}",
36,AR🇦🇷 MX🇲🇽 DE🇩🇪,Juan Pablo,False,https://t.co/FmXYEyl9YJ,False,"{'followers_count': 943, 'following_count': 4998, 'tweet_count': 5728, 'listed_count': 4}","Reflexivo, introvertido, taciturno y estoico; existencialista, constructivista, liberal y ateo. A veces mis likes son irónicos (tener que aclaralo también).",https://pbs.twimg.com/profile_images/1095722945295646722/EFTjyfGD_normal.png,jupixweb,50966307,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/FmXYEyl9YJ', 'expanded_url': 'http://www.jupixweb.de', 'display_url': 'jupixweb.de'}]}}",1403768955609751553
37,New York,BarbaraSam,False,,False,"{'followers_count': 643, 'following_count': 4224, 'tweet_count': 18904, 'listed_count': 16}",,https://pbs.twimg.com/profile_images/1301719236981776385/nEvTRmeY_normal.jpg,BSam2424,275634921,,887414711322542081
38,team:海鮮丼  マンボウ,okap,False,,False,"{'followers_count': 284, 'following_count': 284, 'tweet_count': 33611, 'listed_count': 5}",豆腐は納豆で納豆は豆腐,https://pbs.twimg.com/profile_images/810024260831887360/tLxaYYEo_normal.jpg,okap_8114,3245906191,,
39,Puerto Rico,Weaver McHateful,False,https://t.co/E0SVbVvcV6,False,"{'followers_count': 211, 'following_count': 182, 'tweet_count': 18507, 'listed_count': 0}","aqui perdiendo el tiempo como todos ustedes, tengo un podcast, escúchenlo 🇵🇷 @unpodcastnice #HALAMADRID #SeeRed #BravesNation",https://pbs.twimg.com/profile_images/1429069981082390528/ZkCb3jSf_normal.jpg,weaver006,963440654,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/E0SVbVvcV6', 'expanded_url': 'https://anchor.fm/ultracrepidario', 'display_url': 'anchor.fm/ultracrepidario'}]}, 'description': {'hashtags': [{'start': 92, 'end': 103, 'tag': 'HALAMADRID'}, {'start': 104, 'end': 111, 'tag': 'SeeRed'}, {'start': 112, 'end': 125, 'tag': 'BravesNation'}], 'mentions': [{'start': 77, 'end': 91, 'username': 'unpodcastnice'}]}}",1225442918724521985
40,"Sagamore, MA",Stacy Morris,False,,False,"{'followers_count': 31, 'following_count': 200, 'tweet_count': 1114, 'listed_count': 0}","I went to school to make movies/tv and I work in radio, I think that says it all",https://pbs.twimg.com/profile_images/1516068248374202376/tnfy09EE_normal.jpg,stacylm78,785175994223255552,,1466223324682403846
41,,Rah,False,,False,"{'followers_count': 409, 'following_count': 377, 'tweet_count': 23824, 'listed_count': 1}",#RIPVIC #RIPGrandma❤️ #FreeSay,https://pbs.twimg.com/profile_images/1339988817974071300/tl-iS-rh_normal.jpg,RahhGodd,2400232579,"{'description': {'hashtags': [{'start': 0, 'end': 7, 'tag': 'RIPVIC'}, {'start': 8, 'end': 19, 'tag': 'RIPGrandma'}, {'start': 22, 'end': 30, 'tag': 'FreeSay'}]}}",744721217119191040
42,,Eryne Croquet,False,,False,"{'followers_count': 138, 'following_count': 532, 'tweet_count': 1036, 'listed_count': 1}","My favourite piece of ID is my two dose plus booster BC vaccination card. 

https://t.co/NRQxnMXZBn…

she/her",https://pbs.twimg.com/profile_images/873296872332345344/Qy47mQPw_normal.jpg,Blasterella,2871285847,"{'description': {'urls': [{'start': 76, 'end': 99, 'url': 'https://t.co/NRQxnMXZBn', 'expanded_url': 'http://showyourstripes.info/b/northamerica', 'display_url': 'showyourstripes.info/b/northamerica'}]}}",1021462198021849088
43,,そしにゃん,False,https://t.co/dnqGDhlSmO,False,"{'followers_count': 255, 'following_count': 154, 'tweet_count': 230578, 'listed_count': 17}",特急あずさ 中野行き,https://pbs.twimg.com/profile_images/831520570579701760/aHpknwQn_normal.jpg,sociometry_487,270413973,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/dnqGDhlSmO', 'expanded_url': 'https://drive.google.com/folderview?id=0Bzxuluy1BH_jVjhvV3ZuSWQtUTg&usp=sharing', 'display_url': 'drive.google.com/folderview?id=…'}]}}",
44,,tyluh 死,False,https://t.co/cie2zWsjpG,False,"{'followers_count': 488, 'following_count': 564, 'tweet_count': 9080, 'listed_count': 2}",affiliate for @SOVEREIxN_ use code ‘akazadono’ for 25% off!,https://pbs.twimg.com/profile_images/1492641905921990658/hVXXvD2j_normal.jpg,Tylerrr61,27767924,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/cie2zWsjpG', 'expanded_url': 'http://twitch.tv/akazasdojo', 'display_url': 'twitch.tv/akazasdojo'}]}, 'description': {'mentions': [{'start': 14, 'end': 25, 'username': 'SOVEREIxN_'}]}}",1491851722200866816
45,she/they,Vix 🔮🌌,False,https://t.co/6RaO1ccacg,False,"{'followers_count': 141, 'following_count': 238, 'tweet_count': 4866, 'listed_count': 0}",Rampions and Roses out now!,https://pbs.twimg.com/profile_images/1381439962814447618/1Xw1eSpp_normal.jpg,vixalplane,935258469959049216,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/6RaO1ccacg', 'expanded_url': 'http://jointhrone.com/u/vixalplane', 'display_url': 'jointhrone.com/u/vixalplane'}]}}",1485254473286971392
46,"Greeley, CO",Meanderin' Matt 🏃‍♂️🌱,False,https://t.co/V2iTVL28Vj,False,"{'followers_count': 868, 'following_count': 830, 'tweet_count': 48998, 'listed_count': 49}",he/him • sober • vegan • leftist  • hobby jogger • music • posting wordle on main • probably tweeting about sports just cuz,https://pbs.twimg.com/profile_images/1516520029449330699/2jyGlk-M_normal.jpg,MattPR_CO,105406757,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/V2iTVL28Vj', 'expanded_url': 'https://linktr.ee/matthewronne', 'display_url': 'linktr.ee/matthewronne'}]}}",
47,,チョコ,False,,False,"{'followers_count': 150, 'following_count': 207, 'tweet_count': 18529, 'listed_count': 3}",音ゲーとかグラブルとかやってます,https://pbs.twimg.com/profile_images/1353683692766416896/6vh7kV0F_normal.jpg,Chocolate32304,1907877072,,1385907855438475267
48,"Pasig City, Philippines",Neil Miranda #LeniKiko2022,False,https://t.co/EtkYtgntp8,False,"{'followers_count': 164, 'following_count': 538, 'tweet_count': 12346, 'listed_count': 2}","Random musings, misplaced rants, and daily logs of Wordle (and similar games). *Likes* an obscene number of cat photos. Caveat lector.",https://pbs.twimg.com/profile_images/465432585103876097/CkCue4LI_normal.jpeg,neiljonlouie,42076020,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/EtkYtgntp8', 'expanded_url': 'http://instagram.com/neiljonlouie', 'display_url': 'instagram.com/neiljonlouie'}]}}",1489448334402416641
49,Bear's Den,ヒグマル ☕,False,,False,"{'followers_count': 448, 'following_count': 699, 'tweet_count': 38778, 'listed_count': 11}",A French bear who translates games (@higumaru_loc). FR/EN/日本語OK！MaSu/MWAM/まぁむ/やっこ🌷/#やこまむ尊い/Q'uller forever/チア部/酒好子/熊のすべて。よろしクマ！ 【フォロバ52.87%】(アイコン by @sao_maam),https://pbs.twimg.com/profile_images/1507904010833076224/veBnas9a_normal.jpg,higumaru_time,731844006230016000,"{'description': {'hashtags': [{'start': 83, 'end': 90, 'tag': 'やこまむ尊い'}], 'mentions': [{'start': 36, 'end': 49, 'username': 'higumaru_loc'}, {'start': 149, 'end': 158, 'username': 'sao_maam'}]}}",1276496135289475072
50,Treaty 6 Territory,"X-Just Dee, but in the playoffs !!",False,,False,"{'followers_count': 699, 'following_count': 899, 'tweet_count': 8822, 'listed_count': 9}","Wife. Cat mom. Lover of animals, Oilers, and most sports  People, not so much 🤷‍♀️",https://pbs.twimg.com/profile_images/1478072079719157761/e9oVmTBE_normal.jpg,lakin013,489041208,,
51,,🔮,False,,False,"{'followers_count': 2, 'following_count': 1, 'tweet_count': 124, 'listed_count': 0}",backup account/wordle archive space,https://pbs.twimg.com/profile_images/1389633005522767887/Dy0gSX0w_normal.jpg,plaggplanet,993248310432542720,,
52,SFO/SJO & your ❤️,DanBustamante ,False,,False,"{'followers_count': 1055, 'following_count': 225, 'tweet_count': 9204, 'listed_count': 2}","Ravenclaw Alum | 📝Scribble for Fun | Yogi 🧘🏻‍♂️ | Bilingual, Bi, Vegetarianx2🌱∴",https://pbs.twimg.com/profile_images/1304989524745887745/Nut7CHrJ_normal.jpg,iDanBustamante,35148880,,947642124731691008
53,,Pedro Infantes peña,False,,False,"{'followers_count': 2, 'following_count': 21, 'tweet_count': 86, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1518884802455351296/27ygp6hi_normal.jpg,infantes_pena,1459627664172589064,,
54,Seattle,average percy jackson enjoyer,False,,False,"{'followers_count': 657, 'following_count': 948, 'tweet_count': 4205, 'listed_count': 3}","nature/geography dweeb. loves cider, hates capitalism. she/her 🌵",https://pbs.twimg.com/profile_images/1517287832359866370/-g81ckNu_normal.jpg,wachelsays,785259233642065920,,
55,,Emily Laura,False,,False,"{'followers_count': 56, 'following_count': 468, 'tweet_count': 237, 'listed_count': 0}",this is more complicated than myspace.. wth!!,https://pbs.twimg.com/profile_images/107075576/River_Clark_2.2_normal.JPG,emily_laura,25956079,,1475466685951852545
56,,Javier López,False,,False,"{'followers_count': 15, 'following_count': 20, 'tweet_count': 16, 'listed_count': 0}",Salamanca | https://t.co/wRZAvm7OCJ,https://pbs.twimg.com/profile_images/1416112235160743940/jCaydQc8_normal.jpg,javieeerlopez3,1416111021069066241,"{'description': {'urls': [{'start': 12, 'end': 35, 'url': 'https://t.co/wRZAvm7OCJ', 'expanded_url': 'https://instagram.com/javiiierlopezzz?utm_medium=copy_link', 'display_url': 'instagram.com/javiiierlopezz…'}]}}",
57,Valencia - España,Alicia M.,False,,False,"{'followers_count': 22, 'following_count': 69, 'tweet_count': 301, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1128969128776220672/XXqZFkA8_normal.jpg,AManzanaro,452974426,,
58,"Oakland, CA",Matt “Fourple Vaxxxxed” Carton,False,https://t.co/tDY6pCipc3,False,"{'followers_count': 656, 'following_count': 1049, 'tweet_count': 17187, 'listed_count': 10}",Codify Roe v. Wade as the law of the land.,https://pbs.twimg.com/profile_images/1517554940306100224/RzBL8lr8_normal.jpg,mattcarton,56921184,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/tDY6pCipc3', 'expanded_url': 'https://twitter.com/mattcarton', 'display_url': 'twitter.com/mattcarton'}]}}",1481414652609265664
59,"TOKYO, JPN",P ! R O,False,https://t.co/SqxZgYdPA4,False,"{'followers_count': 249, 'following_count': 157, 'tweet_count': 19073, 'listed_count': 24}","ちょっと WoW
World of Warcraft, Diablo 3, Heroes of the Storm and Hearthstone. /Ossan Marmalade",https://pbs.twimg.com/profile_images/378800000746306349/d8b2d16f6eda592f916ca9f1c9d842eb_normal.png,piro_wow,113894583,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/SqxZgYdPA4', 'expanded_url': 'https://pipo.fun/wow', 'display_url': 'pipo.fun/wow'}]}}",
60,"Perth, Western Australia",Mohitesh 🇦🇺🇮🇳🚩🏳️‍🌈,False,,False,"{'followers_count': 338, 'following_count': 686, 'tweet_count': 2803, 'listed_count': 0}",Mr & Mr 👬loveISlove💘 🕉 follow me 🌹follow me not 🥀,https://pbs.twimg.com/profile_images/1282021747424808960/ZQE8NEXY_normal.jpg,MohiteshL,1200940433678815233,,1444530895331868675
