,location,verified,description,username,url,protected,name,id,public_metrics,profile_image_url,pinned_tweet_id,entities
16574270,Japan,False,#IdontneedRTsandFavs,NONUMBERLESS,,False,NONUMBERLESS,,"{'followers_count': 1722, 'following_count': 911, 'tweet_count': 51469, 'listed_count': 98}",https://pbs.twimg.com/profile_images/1410898761379844098/7IhyMeyT_normal.jpg,1136971824779091968,"{'description': {'hashtags': [{'start': 0, 'end': 20, 'tag': 'IdontneedRTsandFavs'}]}}"
137598328,,False,DDR𒇫｜韓国勢｜DDR RIVAL CODE : 4112-9325｜激鬼 MFC 329｜Team TAKASKE- KOREA Submanager｜時々綺麗な絵をRTしてます。/ RT 많으니 리트윗을 끄는 것을 권장합니다.,echospherics,https://t.co/K0sLSN8wbW,False,ECHOES,,"{'followers_count': 4101, 'following_count': 4989, 'tweet_count': 464476, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1473477556192301059/r6Sx-OqI_normal.jpg,1268564058522804226,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/K0sLSN8wbW', 'expanded_url': 'http://skillattack.com/sa4/dancer_profile.php?ddrcode=41129325', 'display_url': 'skillattack.com/sa4/dancer_pro…'}]}}"
1060614487374548992,,False,"Music, politics (liberal), rasslin', mental health and pretty much anything else. Enjoy running. Lover of all that is cute. he/him 🏳️‍🌈 🏳️‍⚧️ 🌐",HUMAT0N,,False,Thomas Anderson,,"{'followers_count': 41, 'following_count': 10, 'tweet_count': 21121, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1280578541248274433/yYbvs9kp_normal.jpg,1513900354332672004,
250537787,,False,グレーテルはいいゾ,mikage_isahaya,https://t.co/o9tfRhJY6a,False,みかげ@まだ10₍₁₆₎代,,"{'followers_count': 118, 'following_count': 162, 'tweet_count': 37940, 'listed_count': 11}",https://pbs.twimg.com/profile_images/1410186491972579334/RPqAmEUr_normal.jpg,896990340577546240,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/o9tfRhJY6a', 'expanded_url': 'http://www.pixiv.net/member.php?id=4338376', 'display_url': 'pixiv.net/member.php?id=…'}]}}"
472631370,Georgia,False,"RN in hosp and education,  women's health.  
#RegisterandVote",jbjsinclair,,False,Joyce B. J. Sinclair,,"{'followers_count': 219, 'following_count': 939, 'tweet_count': 2808, 'listed_count': 3}",https://pbs.twimg.com/profile_images/1408519781041459206/m96mNmDl_normal.jpg,,"{'description': {'hashtags': [{'start': 45, 'end': 61, 'tag': 'RegisterandVote'}]}}"
20574396,"Ōbu, Japan",False,ダイエット中／ボドゲ・プログラムな適当ポンコツ教員／Scala・SNAP!・Unity・Blender・Max8／toio・VR・AR・AI／NIT-SLG-OB／カクテル・アニメ・ＳＦ・ボカロ／大府・稲沢・名古屋,_kobashi,https://t.co/kGJbRaNS4Y,False,こばし　かずひで,,"{'followers_count': 1838, 'following_count': 2907, 'tweet_count': 141507, 'listed_count': 86}",https://pbs.twimg.com/profile_images/378800000442250021/3d772c545916da558fc19198f52040b1_normal.png,1490799245531955200,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/kGJbRaNS4Y', 'expanded_url': 'https://twitter.com/_kobashi', 'display_url': 'twitter.com/_kobashi'}]}}"
2251573968,Osaka→Nagano,False,作曲など 収録:Diverse System等 ＊-Teris.であすくと読みます。 楽しいと美味しいはお誘いください icon(@i_kisuke) Contact/お誘い等→ DM YouTube:https://t.co/BJc0ApfMEH,AskorAsuka,https://t.co/DROYoGHZ4u,False,(あすく)＊-Teris.,,"{'followers_count': 2407, 'following_count': 1794, 'tweet_count': 84008, 'listed_count': 59}",https://pbs.twimg.com/profile_images/1085363682362548224/5WqAwTPX_normal.jpg,1448304705671626754,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/DROYoGHZ4u', 'expanded_url': 'https://askorasuka.bandcamp.com/album/bagatelle', 'display_url': 'askorasuka.bandcamp.com/album/bagatelle'}]}, 'description': {'urls': [{'start': 101, 'end': 124, 'url': 'https://t.co/BJc0ApfMEH', 'expanded_url': 'http://youtube.com/user/AskORAsuka', 'display_url': 'youtube.com/user/AskORAsuka'}], 'mentions': [{'start': 65, 'end': 74, 'username': 'i_kisuke'}]}}"
1024297483705442305,she/her - 22,False,perpetually confused,ambbhat,,False,r,,"{'followers_count': 480, 'following_count': 442, 'tweet_count': 13726, 'listed_count': 2}",https://pbs.twimg.com/profile_images/1509664202541121551/WiRl1uIj_normal.jpg,1349136542938312710,
1107998401,ｻｲﾀﾏ,False,"エクセルが嫌いです
遊戯王ときんモザと自転車とアウトドアと酒
PSNID m_tyura",m_tyura,,False,まちゅらー,,"{'followers_count': 587, 'following_count': 345, 'tweet_count': 214226, 'listed_count': 16}",https://pbs.twimg.com/profile_images/724455207925473280/0G4LerW1_normal.jpg,1306945458074300417,
2923854372,今帰里来,False,独楽林檎(コマリンゴ)🍎：UTAUカバー、絵、MMD、その他色々 UTAU自音源→撫音小鞠@NadeneKomari、玖婥えれん@xX_erenbot_Xx ヘッダーはさくちゃん(@skskrp)より,lonelyapple011,https://t.co/1jjcT01EsC,False,独楽林檎の受験期,,"{'followers_count': 361, 'following_count': 316, 'tweet_count': 23587, 'listed_count': 8}",https://pbs.twimg.com/profile_images/1510993257295056896/f0HIc6cj_normal.jpg,1514619659353436168,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/1jjcT01EsC', 'expanded_url': 'https://twpf.jp/lonelyapple011', 'display_url': 'twpf.jp/lonelyapple011'}]}, 'description': {'mentions': [{'start': 45, 'end': 58, 'username': 'NadeneKomari'}, {'start': 64, 'end': 78, 'username': 'xX_erenbot_Xx'}, {'start': 90, 'end': 97, 'username': 'skskrp'}]}}"
1370727856389582849,EARTH,False,高一//便秘//ゼル伝とドラクエがいちばん好き⚔/音楽、ピアノ好き🎶/ドラクエウォーク/ホロライブ好き/switchでいろいろ,surasura0503,,False,すらりん,,"{'followers_count': 253, 'following_count': 316, 'tweet_count': 1376, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1521740126883573760/tfgsUzz-_normal.jpg,,
1183007703842447360,詳細はリンクのプロフカード参照,False,好きなものを描くよ！成人腐 CoC(半テキ)/LC/LoR/創作 Skeb:https://t.co/lQtqUqCbA6 F前にプロカお読みください｜9月まで新規✖ 自陣タグ：#香宮矢班 #可惜夜怪 #爆速星座館 #水無区中,Msn_near15,https://t.co/BdBu9MGcP7,False,🎪枡乃にあ♏🐉💉,,"{'followers_count': 131, 'following_count': 122, 'tweet_count': 10364, 'listed_count': 10}",https://pbs.twimg.com/profile_images/1503973775687426049/zu3QiDZ2_normal.jpg,1521531972949975040,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/BdBu9MGcP7', 'expanded_url': 'https://profcard.info/u/Fg4y6IH0JCTk1vXJlHtgK5bsJCN2', 'display_url': 'profcard.info/u/Fg4y6IH0JCTk…'}]}, 'description': {'urls': [{'start': 38, 'end': 61, 'url': 'https://t.co/lQtqUqCbA6', 'expanded_url': 'http://skeb.jp/@Msn_near15', 'display_url': 'skeb.jp/@Msn_near15'}], 'hashtags': [{'start': 89, 'end': 94, 'tag': '香宮矢班'}, {'start': 95, 'end': 100, 'tag': '可惜夜怪'}, {'start': 101, 'end': 107, 'tag': '爆速星座館'}, {'start': 108, 'end': 113, 'tag': '水無区中'}]}}"
982181376588824577,日本・Steam,False,"インディー＆マイナー好き雑食ゲーマー。メインはSteam。
自分のゲームを作ることを目標にイロイロ勉強中…
Steamフレンドコード：112412758",ugetsutakosu4,,False,うげつ,,"{'followers_count': 475, 'following_count': 629, 'tweet_count': 13818, 'listed_count': 10}",https://pbs.twimg.com/profile_images/1183694847477075968/N7qLqVr5_normal.jpg,,
122589881,,False,心←penguin｜Mio Yamanaka｜they/she｜animation｜ji030ii@gmail.com,j030i,https://t.co/O8Wbmf3sgk,False,山中澪👻📗,,"{'followers_count': 2366, 'following_count': 935, 'tweet_count': 96676, 'listed_count': 48}",https://pbs.twimg.com/profile_images/1407718768063565824/z3YMi6RH_normal.png,1510396389947473927,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/O8Wbmf3sgk', 'expanded_url': 'https://instagram.com/ji030ii', 'display_url': 'instagram.com/ji030ii'}]}}"
841293338124922881,He/Him | 18 | 🇵🇰,False,niche internet micro celebrity | i tweet dumb thoughts | CL16 SV5 | Forza Ferrari,iloveotters_,,False,salaar,,"{'followers_count': 337, 'following_count': 528, 'tweet_count': 14904, 'listed_count': 5}",https://pbs.twimg.com/profile_images/1516207844395212802/skg4S-LX_normal.jpg,1508859389742301184,
344953464,"Lake Mills, WI",False,Packer and Brewer fan for life Proud dad of Alex. Lucky husband of Stephanie,DBablitch,,False,dan bablitch,,"{'followers_count': 168, 'following_count': 2906, 'tweet_count': 1143, 'listed_count': 2}",https://pbs.twimg.com/profile_images/1499093661405040644/CEAMXMRT_normal.jpg,,
2397520382,位置情報,False,,Be_Crest,,False,ban族,,"{'followers_count': 218, 'following_count': 427, 'tweet_count': 62995, 'listed_count': 3}",https://pbs.twimg.com/profile_images/1494001159299760129/7sIV2QMC_normal.jpg,,
379718252,"Philadelphia, PA",False,"hey fellas, did somebody mention the door to darkness? • he/him, 25",slayonetta,https://t.co/5CKhh5eieu,False,danielito,,"{'followers_count': 12412, 'following_count': 847, 'tweet_count': 142060, 'listed_count': 32}",https://pbs.twimg.com/profile_images/1519780757497163779/E4_WIA5M_normal.jpg,1466945517431234563,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/5CKhh5eieu', 'expanded_url': 'http://instagram.com/dstins', 'display_url': 'instagram.com/dstins'}]}}"
175343142,Fukuoka⇔？,False,はじめまして。情報セキュリティの勉強をしています/放送大学全科履修生(2022.4〜)/週2日サウナ/サウナ・スパプロフェッショナル(管理士)/ReoNa/競馬/Post-completed additional vaccine💉💉💉/野球 パ:鷹、鴎,izayoshi,,False,いざよし,,"{'followers_count': 376, 'following_count': 553, 'tweet_count': 415550, 'listed_count': 31}",https://pbs.twimg.com/profile_images/1264516798021435393/ZI9PL4om_normal.jpg,1476170397175672834,
15305181,Los Angeles,False,"Writer, mostly of underrated tweets. Speaker of truth to royalty. Opinions my own. Likes and retweets ≠ endorsements. Not packaged for individual sale.",cakeorpie,,False,CakeOrPie,,"{'followers_count': 1410, 'following_count': 4994, 'tweet_count': 5829, 'listed_count': 26}",https://pbs.twimg.com/profile_images/1324800302290071554/LPBu91K1_normal.jpg,1417556347378233345,
950122367027617794,,False,🔫🐇,OFPK13,https://t.co/Cv7wQxXtM2,False,13歳,,"{'followers_count': 56, 'following_count': 72, 'tweet_count': 26193, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1405889889107726341/TowQacKl_normal.jpg,1504416207579283460,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Cv7wQxXtM2', 'expanded_url': 'https://www.youtube.com/channel/UCd8HqMH6t5h6QZ1W4ya0fog', 'display_url': 'youtube.com/channel/UCd8Hq…'}]}}"
2584201597,@xfightergirlx(稀に居る方),False,20↑shipper 8割方陽気なオタク 洋画・韓国映画沼(毒戦)/JAM🐶/hrak/特撮 時々ソシャゲ(fgo/A3) /軽率ファボRT,xsimpleskyx,,False,すぬ,,"{'followers_count': 150, 'following_count': 449, 'tweet_count': 111757, 'listed_count': 8}",https://pbs.twimg.com/profile_images/1519870971712532480/Ku3xsUg3_normal.png,1478199267936575491,
135418805,,False,サカナクションが好き🐠❤️MRからエンジニアに転職しました👩‍💻,mkmk_1027,,False,maki☺︎,,"{'followers_count': 91, 'following_count': 144, 'tweet_count': 574, 'listed_count': 0}",https://pbs.twimg.com/profile_images/709025461313998848/SJWSTprB_normal.jpg,,
706025938979418112,,False,글임글임,YeonRVNGss,https://t.co/wL7Aazj3AX,False,서론,,"{'followers_count': 178, 'following_count': 134, 'tweet_count': 6890, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1509854246124294147/ZOJj_mGt_normal.jpg,1508481968832643076,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/wL7Aazj3AX', 'expanded_url': 'https://www.pixiv.net/users/19074816', 'display_url': 'pixiv.net/users/19074816'}]}}"
1459428218,,False,🐝🦋🌸🐚🦕🪴🌺🌻,emchantment,,False,em 🌛,,"{'followers_count': 5399, 'following_count': 4267, 'tweet_count': 84051, 'listed_count': 32}",https://pbs.twimg.com/profile_images/1508924193236267010/7_mV6JVG_normal.jpg,,
11312992,"Sacramento, CA",False,"AMY RUIZ FRITZ: Vaccinated! Eye roller, cusser, book reader, cheese admirer, masked raconteur. Spent time in MN. AKA @AuntBubbaSays, @PFritz21's wife",NonChron,https://t.co/AEPZOrfVU8,False,Chronicles of Nothing,,"{'followers_count': 1890, 'following_count': 2038, 'tweet_count': 77184, 'listed_count': 220}",https://pbs.twimg.com/profile_images/458799119293640704/Zermgv_O_normal.jpeg,766465561387606017,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/AEPZOrfVU8', 'expanded_url': 'http://www.nonchron.com', 'display_url': 'nonchron.com'}]}, 'description': {'mentions': [{'start': 117, 'end': 131, 'username': 'AuntBubbaSays'}, {'start': 133, 'end': 142, 'username': 'PFritz21'}]}}"
