,protected,verified,id,description,name,profile_image_url,url,public_metrics,username,entities,location,pinned_tweet_id
10,False,False,1927830756,...,Sema DAĞLI,https://pbs.twimg.com/profile_images/1462540690815172608/Sxo3t0vx_normal.jpg,,"{'followers_count': 11, 'following_count': 26, 'tweet_count': 139, 'listed_count': 0}",semaaktasdagli,,"Edirne, Türkiye",
11,False,False,196073194,"Una pasion, ver futbol en cantidades industriales. Analista.....Viajando con el fútbol.",Alex Ballesteros,https://pbs.twimg.com/profile_images/1178189750462746624/jxKRHuCK_normal.jpg,,"{'followers_count': 604, 'following_count': 3292, 'tweet_count': 776, 'listed_count': 3}",A_Ballesteros1,,,
12,False,False,824624335,Hungry? || I’m just here to make snarky comments.,boy david #TeamModerna,https://pbs.twimg.com/profile_images/1420420589270048769/NUPovjY2_normal.jpg,https://t.co/DUJ8dWIPP0,"{'followers_count': 95, 'following_count': 75, 'tweet_count': 3484, 'listed_count': 0}",j3wbacca,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/DUJ8dWIPP0', 'expanded_url': 'http://instagram.com/derbarbier/', 'display_url': 'instagram.com/derbarbier/'}]}}",,
13,False,False,35067473,"Peace and Blessings, Hip Hop is my Kulture. Radio, poetry and photography are my expressions. Bernie endorser, Nina endorser, BLM, him, he... Come lets build.",Curry Kid 🌹,https://pbs.twimg.com/profile_images/1368503097023209474/JnYXKsdU_normal.jpg,https://t.co/2QPLObNUYN,"{'followers_count': 1868, 'following_count': 4976, 'tweet_count': 40617, 'listed_count': 31}",cCurryKid,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/2QPLObNUYN', 'expanded_url': 'http://www.OFFtheTOPradio.com', 'display_url': 'OFFtheTOPradio.com'}]}}",In your ear,
14,False,False,105555271,Executive Assistant.,Abi Leckenby,https://pbs.twimg.com/profile_images/1413732668412399617/71ABtcEM_normal.jpg,,"{'followers_count': 385, 'following_count': 545, 'tweet_count': 2901, 'listed_count': 8}",AbiLeckers,,"Manchester, UK",
15,False,False,230873800,"Tratando de disfrutar cada momento con quienes me rodean. Nada ni nadie es eterno, así que déjense de tonterías y aplíquense. #Doglover #AmoElPan",Luis C.,https://pbs.twimg.com/profile_images/1521189967501877249/iWxhrCsv_normal.jpg,,"{'followers_count': 25804, 'following_count': 4805, 'tweet_count': 83223, 'listed_count': 24}",mueganobarbon,"{'description': {'hashtags': [{'start': 126, 'end': 135, 'tag': 'Doglover'}, {'start': 136, 'end': 145, 'tag': 'AmoElPan'}]}}",Mexico City,
16,False,False,375763378,,barefootinthesand,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,"{'followers_count': 2, 'following_count': 6, 'tweet_count': 138, 'listed_count': 0}",curley_shirley,,"Marshfield, England",
17,False,False,20513020,Run a couple of churches in Ancoats... not a priest. Biscuit/Disco enthusiast. Blue (Legacy). Champagne for Everyone. All views my own,Martin Glynn,https://pbs.twimg.com/profile_images/2798150447/26acec3b1017f6d154463bfda116d473_normal.jpeg,https://t.co/jJQvJNHxRG,"{'followers_count': 1071, 'following_count': 997, 'tweet_count': 20400, 'listed_count': 19}",martinglynn,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/jJQvJNHxRG', 'expanded_url': 'http://www.acrossthetracks.co.uk', 'display_url': 'acrossthetracks.co.uk'}]}}",Manchester,
18,False,False,159365761,"GenX.  Proud proponent of Canadian-style tyranny.

If you're not followed by anyone I'm following, you're not worth following.",Mike MacKay 🇨🇦,https://pbs.twimg.com/profile_images/1498803465178554368/WXR4q9dZ_normal.jpg,,"{'followers_count': 411, 'following_count': 850, 'tweet_count': 7690, 'listed_count': 6}",Michael5MacKay,,"Toronto, ON  Canada",880774123529674752
19,False,False,70661394,Pseud. Semi-professional bath haver. He/they,"It's not the despair, Laura",https://pbs.twimg.com/profile_images/1163204696636567553/QR8VDsWV_normal.jpg,https://t.co/vBb2gWk8Yu,"{'followers_count': 85, 'following_count': 590, 'tweet_count': 2405, 'listed_count': 5}",robajob78,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/vBb2gWk8Yu', 'expanded_url': 'http://carryonsysadmin.wordpress.com/', 'display_url': 'carryonsysadmin.wordpress.com'}]}}","Telford, UK",
20,False,False,1033699291636920321,"La mejor manera de librarse de la tentación es caer en ella.
Periodista🎤📻🗞️",a de ani alfa altura alien,https://pbs.twimg.com/profile_images/1509888833810309123/IGmhN8c-_normal.jpg,,"{'followers_count': 316, 'following_count': 568, 'tweet_count': 12822, 'listed_count': 0}",annnnnns,,Palencia,1312432072816984071
21,False,False,2560026012,glorified wordle archive,a melon not a felon,https://pbs.twimg.com/profile_images/1507889598516678661/qUlGpY6T_normal.jpg,,"{'followers_count': 9, 'following_count': 12, 'tweet_count': 196, 'listed_count': 0}",notapro444,,,
22,False,False,133911668,a random but handsome dude that tweets dank memes and music,Andy Salas,https://pbs.twimg.com/profile_images/1488401982792556544/hNs_uqFy_normal.jpg,,"{'followers_count': 205, 'following_count': 721, 'tweet_count': 2547, 'listed_count': 0}",AJ_Salas06,,Guatemala,1466348589316198402
23,False,False,106720181,💚Freedom to Speak Up Guardian @ Bolton. Winner of St Johns Ambulance Community Hero Award & National LifeSaver Award passionate about patient care/safety💚,Tracey Garde she/her💚💙,https://pbs.twimg.com/profile_images/1485959501941510146/5KXXIRLO_normal.jpg,,"{'followers_count': 1732, 'following_count': 2946, 'tweet_count': 3691, 'listed_count': 11}",bwfclady,,Manchester UK,1501944201755303951
24,False,False,464188881,Loved take that for 30 years!💜⫩💜Massive Robbie fan ❤RW❤Gary followed me 25/08/17 🧡The Band musical ❤️ 💛only fools and horses musical is the best !💛,Christine ⫩⃝💋🥰💋⫩⃝,https://pbs.twimg.com/profile_images/1521197000313737227/5eNAuNzS_normal.jpg,,"{'followers_count': 603, 'following_count': 904, 'tweet_count': 27015, 'listed_count': 0}",christine6257,,Hereford ⫩ ,1413577510919577600
25,False,False,487481338,"El verdadero hombre inteligente, es el que aparenta ser un pelotudo delante de un pelotudo que aparenta ser inteligente",Cordobita,https://pbs.twimg.com/profile_images/544651987845779456/puPrkxt-_normal.jpeg,,"{'followers_count': 130, 'following_count': 89, 'tweet_count': 5816, 'listed_count': 0}",iicordobita,,,
26,False,False,1083416608800940042,"Cierra tus ojos... Ahora imagina que no hay nada allí... sin un techo de roca... Soló un cielo abierto, y cuando la noche cae, las estrellas aparecen...",I want to see the stars,https://pbs.twimg.com/profile_images/1508456876266172425/YM1hmpSD_normal.jpg,https://t.co/bjyAUW3K0D,"{'followers_count': 101, 'following_count': 95, 'tweet_count': 18573, 'listed_count': 0}",MumToxic,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/bjyAUW3K0D', 'expanded_url': 'https://anilist.co/user/ToxicChan/animelist', 'display_url': 'anilist.co/user/ToxicChan…'}]}}",INTJ 1w2,1510024616303017989
27,False,False,553555808,,Luis R 🇨🇱,https://pbs.twimg.com/profile_images/3638370431/20b8ab92d1b40be7815edc23bab79507_normal.jpeg,,"{'followers_count': 70, 'following_count': 378, 'tweet_count': 78, 'listed_count': 0}",luis_rojas_a,,,
28,False,False,1497480228603629568,,Wordle Wanker,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 69, 'listed_count': 0}",wordle_wanker,,,
29,False,False,414915678,,Josh,https://pbs.twimg.com/profile_images/1459285268725264389/E1_3wfEz_normal.jpg,,"{'followers_count': 156, 'following_count': 816, 'tweet_count': 17950, 'listed_count': 4}",Konman81,,,
30,False,False,186129247,"Sunday Times best-selling novelist. A Golden Cornish Summer out in June.

https://t.co/lRxPzBXpRP",Phillipa Ashley 💙💛,https://pbs.twimg.com/profile_images/1369565680853524480/R31wrG7D_normal.jpg,https://t.co/lRxPzBXpRP,"{'followers_count': 8596, 'following_count': 3964, 'tweet_count': 74721, 'listed_count': 196}",PhillipaAshley,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/lRxPzBXpRP', 'expanded_url': 'https://linktr.ee/phillipaashleyauthor', 'display_url': 'linktr.ee/phillipaashley…'}]}, 'description': {'urls': [{'start': 74, 'end': 97, 'url': 'https://t.co/lRxPzBXpRP', 'expanded_url': 'https://linktr.ee/phillipaashleyauthor', 'display_url': 'linktr.ee/phillipaashley…'}]}}",,1515989555106783236
31,False,False,1507687041055739909,I am Jane’s inebriated gimp,En-Aye-Kay,https://pbs.twimg.com/profile_images/1516867315551420419/PWeC7Pmv_normal.jpg,,"{'followers_count': 100, 'following_count': 176, 'tweet_count': 369, 'listed_count': 0}",nikslair,,In my lair (obvs) ,
32,False,False,580536621,A.k.a. Jane Redwood. Survivor of child abuse and a destructive cult. Advocate. Activist. Researcher. Writer. Supporter. Lover of all things cat!,Kimberly O'Donnell,https://pbs.twimg.com/profile_images/986607334968487936/ekiff0GO_normal.jpg,,"{'followers_count': 1607, 'following_count': 648, 'tweet_count': 927, 'listed_count': 0}",kimmyemail,,"Parkville, MD",1493281484987412487
33,False,False,2861644132,"Avid reader with Champagne tastes on a lemonade budget. Primary Care ANP. My views are my own, always!",Veronica Hill,https://pbs.twimg.com/profile_images/529770259868553216/vfb_n5Fx_normal.jpeg,,"{'followers_count': 101, 'following_count': 480, 'tweet_count': 621, 'listed_count': 0}",teaforblood,,Scotland,
34,False,False,310814846,think happy thoughts.,'Biola Ojo,https://pbs.twimg.com/profile_images/1521359417089966080/53q_Ps20_normal.jpg,https://t.co/YRNuScITIW,"{'followers_count': 2694, 'following_count': 1475, 'tweet_count': 50823, 'listed_count': 20}",biolaojo_,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/YRNuScITIW', 'expanded_url': 'http://linktr.ee/biolaojo', 'display_url': 'linktr.ee/biolaojo'}]}}",The Sky is Big Enough ,1451313323333533696
35,False,False,5628912,Books. Climate Action. Feminism. @FrankTurner Fangirling. German Anglophile. Green. Overthinking. Worrier. | cis. she/her.,Susanne D,https://pbs.twimg.com/profile_images/682996780670291969/Jm6UlkPX_normal.jpg,https://t.co/S9KwimslJT,"{'followers_count': 721, 'following_count': 1528, 'tweet_count': 75654, 'listed_count': 36}",dennasus,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/S9KwimslJT', 'expanded_url': 'https://backtoshore.blog', 'display_url': 'backtoshore.blog'}]}, 'description': {'mentions': [{'start': 33, 'end': 45, 'username': 'FrankTurner'}]}}",going nowhere slowly,1514856231890046980
36,False,False,1203315655,kdrama | chocolate | music | books | #김세정 ♥ 효정커플 ♥  ً,nara ☾,https://pbs.twimg.com/profile_images/1503782406847082499/VGxLmnnA_normal.jpg,,"{'followers_count': 169, 'following_count': 114, 'tweet_count': 32263, 'listed_count': 0}",narafwn,"{'description': {'hashtags': [{'start': 37, 'end': 41, 'tag': '김세정'}]}}",ID/ENG,1492016908392366081
37,False,False,71798839,"Murcianista, madridista, del @ElPozoMurcia_FS y del @ascittadella73 / De @GarethBale11 / Farmacia UMU",Fran Pelegrín,https://pbs.twimg.com/profile_images/1450002277536866308/Z_ywI-PH_normal.jpg,,"{'followers_count': 1285, 'following_count': 895, 'tweet_count': 52395, 'listed_count': 3}",franpel97,"{'description': {'mentions': [{'start': 29, 'end': 45, 'username': 'ElPozoMurcia_FS'}, {'start': 52, 'end': 67, 'username': 'ascittadella73'}, {'start': 73, 'end': 86, 'username': 'GarethBale11'}]}}","Murcia, Spain",
38,False,False,1366591925411807235,,vimal bastin,https://pbs.twimg.com/profile_images/1505560973561655296/Xf7ja2oN_normal.jpg,,"{'followers_count': 1, 'following_count': 24, 'tweet_count': 34, 'listed_count': 0}",BastinVimal,,,
39,False,False,26458505,Chartered imbecile. World lawn darts champion 2014. Former Miss Haven Holidays. Owns UK's largest collection of keys. My username came free in a box of Frosties,Stephen,https://pbs.twimg.com/profile_images/1205966042461331462/wb5n8oEa_normal.jpg,https://t.co/39QS9k6mUe,"{'followers_count': 751, 'following_count': 887, 'tweet_count': 40196, 'listed_count': 11}",qqzm,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/39QS9k6mUe', 'expanded_url': 'http://www.autocardanywhere.com', 'display_url': 'autocardanywhere.com'}]}}",Cambridge,1431545439849955332
40,False,False,718904715967340544,News,Sarah Dent,https://pbs.twimg.com/profile_images/719587135557406725/jNCRuy-__normal.jpg,,"{'followers_count': 6, 'following_count': 44, 'tweet_count': 109, 'listed_count': 0}",Dent9Sarah,,,
41,False,False,15968128,"Un autre regard sur l'#actualité et la #politique : ""Avoir l'esprit #scientifique c'est voir ce que tout le monde voit et penser à ce à quoi personne ne pense""",Louis CHATEL,https://pbs.twimg.com/profile_images/58809173/louis-chatel_c_normal.jpg,https://t.co/i6SjdpNzy0,"{'followers_count': 413, 'following_count': 540, 'tweet_count': 24435, 'listed_count': 6}",louis_chatel,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/i6SjdpNzy0', 'expanded_url': 'https://louis-chatel.blogspot.com/', 'display_url': 'louis-chatel.blogspot.com'}]}, 'description': {'hashtags': [{'start': 22, 'end': 32, 'tag': 'actualité'}, {'start': 39, 'end': 49, 'tag': 'politique'}, {'start': 68, 'end': 81, 'tag': 'scientifique'}]}}",Rueil-Malmaison,1446763746404208640
42,False,False,154562655,I believe economic justice is crucial for social justice. I believe #blacklivesmatter & #familiesbelongtogether. And I #believewomen.,Kate Mereand,https://pbs.twimg.com/profile_images/1515177009999187968/6MS2BxPP_normal.jpg,https://t.co/iSIdkK4C7u,"{'followers_count': 1675, 'following_count': 3238, 'tweet_count': 27840, 'listed_count': 214}",KateMereand,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/iSIdkK4C7u', 'expanded_url': 'https://medium.com/@katemereand', 'display_url': 'medium.com/@katemereand'}]}, 'description': {'hashtags': [{'start': 68, 'end': 85, 'tag': 'blacklivesmatter'}, {'start': 88, 'end': 111, 'tag': 'familiesbelongtogether'}, {'start': 119, 'end': 132, 'tag': 'believewomen'}]}}","Washington, DC",1512210196722032646
43,False,False,20232848,Cantankerous. Ghastly. Doctor of TERFism. Snarky swearing toxic mischief maker. I instablock trans ideologues bc they talk shit. #WomenWontWheesht #IHaveAVagina,🟥Dr. Hackney Terven KPSS,https://pbs.twimg.com/profile_images/1468033775712059395/5DARPORQ_normal.jpg,,"{'followers_count': 4319, 'following_count': 2631, 'tweet_count': 79572, 'listed_count': 37}",NoShirleyNo,"{'description': {'hashtags': [{'start': 129, 'end': 146, 'tag': 'WomenWontWheesht'}, {'start': 147, 'end': 160, 'tag': 'IHaveAVagina'}]}}",TERF Island 🏝,1458830003584520208
44,False,False,63561584,"Full time faither/teacher, part time attention seeker.",Grant Campbell,https://pbs.twimg.com/profile_images/1458720664005787648/2qHYCgvQ_normal.jpg,,"{'followers_count': 117, 'following_count': 306, 'tweet_count': 195, 'listed_count': 2}",thebigscunner,,,
45,False,False,63725900,"Cᵤₐₙdₒ ₗₐ ᵥᵢdₐ ₜₑ ₚᵣₑₛₑₙₜₑ ᵣₐzₒₙₑₛ ₚₐᵣₐ ₗₗₒᵣₐᵣ dₑₘᵤéₛₜᵣₐₗₑ qᵤₑ ₜᵢₑₙₑₛ ₘᵢₗ&₁ ᵣₐzₒₙₑₛ ₚₐᵣₐ ᵣₑíᵣ ... ₗₐ ᵥᵢdₐ ₑₛ ᵤₙ ᵣₐₜᵢcₒ, ᵥᵢᵥₑ ₑₗ ₘₒₘₑₙₜₒ, ᵥᵢᵥₑ ₕₒy ... 🍀😊✨ ...",Pilar R 🐬🎶✨🐇,https://pbs.twimg.com/profile_images/1381274643894575107/pP2okjB6_normal.jpg,,"{'followers_count': 1050, 'following_count': 277, 'tweet_count': 135484, 'listed_count': 34}",Pili73,,Donde el corazón me lleve...✈❤,
46,False,False,197398467,"Licenciada en Humanidades.
Vendo libros. Leo libros. Escucho música. Veo series. Y películas. Y deporte.",Marta Carretero 📚,https://pbs.twimg.com/profile_images/445524285973487616/vaHQaPER_normal.jpeg,,"{'followers_count': 361, 'following_count': 196, 'tweet_count': 50004, 'listed_count': 17}",netartemisa,,Donde aún habita la magia...,839486310347911168
47,False,False,449677772,"Not-for-profit governance and training consultant, Assistant Clerk of Quaker Stewardship Committee. Freelance. All views those of my employer.",Paul Gibson,https://pbs.twimg.com/profile_images/1458035361226051584/utLr3-4e_normal.jpg,,"{'followers_count': 1729, 'following_count': 2885, 'tweet_count': 56279, 'listed_count': 118}",PaulGibson20,,Arundel and London,
48,False,False,1715239256,"하루쿠토 = Harukuto = ハルクト / 20⬆ / 장르 - 프문겜, 앙스타 / 🦁🐱 / 터프 X, 지방혐오 X / 미러블락 사용 중",하루쿠토 ଳ,https://pbs.twimg.com/profile_images/1442378445422411779/Fqv311fZ_normal.jpg,,"{'followers_count': 276, 'following_count': 376, 'tweet_count': 199493, 'listed_count': 7}",gkfntkd,,"인장 벽돌님 커미션, 헤더 추룽님",1389629696640389126
49,False,False,2228839859,https://t.co/uCxv6i6gGt,Şahap Köse,https://pbs.twimg.com/profile_images/1496865128142233601/lpBe5qQM_normal.jpg,https://t.co/oF8nISNzr9,"{'followers_count': 293, 'following_count': 2413, 'tweet_count': 48966, 'listed_count': 2}",sahapkose,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/oF8nISNzr9', 'expanded_url': 'https://boxd.it/13H2l', 'display_url': 'boxd.it/13H2l'}]}, 'description': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/uCxv6i6gGt', 'expanded_url': 'http://instagram.com/sahapkose', 'display_url': 'instagram.com/sahapkose'}]}}",Ütopyanın İdea Köyünden,1469649926674173958
50,False,False,2344691859,Father. Deputy Headteacher. Camel rider. Wave surfer. Scuba diver. Marathon finisher. Fixer. Mentor. Tired. All opinions my own. PCD. Can be awesome. 🦅👁,Paul Neaves,https://pbs.twimg.com/profile_images/889950006320537600/mprn1kM__normal.jpg,,"{'followers_count': 515, 'following_count': 833, 'tweet_count': 3151, 'listed_count': 8}",MrNeaves,,"South East, England",
51,False,False,34040917,"award-winning indie actor/singer/writer/director/producer, minister/philosopher/activist, father, & crazy person. 
Black, pan, poly, autistic, talkative.
he/him",Jaybird Walker,https://pbs.twimg.com/profile_images/1435723608228306946/T5-ieXKA_normal.jpg,https://t.co/DKWNxC1RkQ,"{'followers_count': 1436, 'following_count': 1598, 'tweet_count': 51210, 'listed_count': 17}",Jaybird_Walker,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/DKWNxC1RkQ', 'expanded_url': 'https://www.facebook.com/JaybirdWalkeronFB', 'display_url': 'facebook.com/JaybirdWalkero…'}]}}","Cranston, RI",1399527962492518401
52,False,False,2570496571,Number cruncher. Cat lover. Bad singer.,Tracey,https://pbs.twimg.com/profile_images/1502439297722601472/4avsBMlZ_normal.jpg,,"{'followers_count': 122, 'following_count': 238, 'tweet_count': 2747, 'listed_count': 2}",teetee_abz,,Aberdeen,
53,False,False,1223570450560749569,"maths, coffee, music, in that order!",Countess WestMTS 🌞☕🎶,https://pbs.twimg.com/profile_images/1251415579766009856/X0l7Jhtx_normal.jpg,,"{'followers_count': 44, 'following_count': 210, 'tweet_count': 646, 'listed_count': 0}",WestMTS1,,,
54,False,False,138133766,"Ordained, Family of 5 (including a dog), Master of Wyggeston's , 1st Bass with Leicester Philharmonic Choir",Tony Leighton,https://pbs.twimg.com/profile_images/2881569608/0090ea37b5c7ab5ecc5b6afb3eb953e8_normal.png,,"{'followers_count': 268, 'following_count': 271, 'tweet_count': 8923, 'listed_count': 4}",TonyLeighton82,,United Kingdom,
55,False,False,243278835,"mamá de tiempo completo, lectora de medio tiempo, escritora ocasional, fan de los rompecabezas, amante de los perros",Renata Medero,https://pbs.twimg.com/profile_images/562237103287705600/z3AELyER_normal.jpeg,,"{'followers_count': 32, 'following_count': 303, 'tweet_count': 2005, 'listed_count': 0}",bai_sebori,,"Berlin, Germany",1500443076539654152
56,False,False,31147498,"18+ to follow | Follower of @nynahnina |  |  @maevemystery | @zia_mfc |  @aphiademieuxmfc 

‼ POSSIBLE NUDITY (not mine) ‼",UndrMystery (Undrhil) #StopAAPIHate,https://pbs.twimg.com/profile_images/1369741762827329539/jtK7X9ty_normal.jpg,,"{'followers_count': 343, 'following_count': 614, 'tweet_count': 58300, 'listed_count': 15}",undrhil,"{'description': {'mentions': [{'start': 28, 'end': 38, 'username': 'nynahnina'}, {'start': 45, 'end': 58, 'username': 'maevemystery'}, {'start': 61, 'end': 69, 'username': 'zia_mfc'}, {'start': 73, 'end': 89, 'username': 'aphiademieuxmfc'}]}}","Mystery Town, USA",1483455138727706639
57,False,False,192142246,"Nací en mayo, cerca de África.
https://t.co/SEGlWRcwCt",Gabriel,https://pbs.twimg.com/profile_images/1425840735958544391/FimbwJrw_normal.jpg,https://t.co/zjSF3PE75t,"{'followers_count': 1365, 'following_count': 700, 'tweet_count': 97152, 'listed_count': 22}",gabrieltbeevm,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/zjSF3PE75t', 'expanded_url': 'http://www.youtube.com/user/Lameta', 'display_url': 'youtube.com/user/Lameta'}]}, 'description': {'urls': [{'start': 31, 'end': 54, 'url': 'https://t.co/SEGlWRcwCt', 'expanded_url': 'https://www.twitonomy.com/profile.php?sn=gabrieltbeevm', 'display_url': 'twitonomy.com/profile.php?sn…'}]}}",Andalucía,869986486669549568
58,False,False,999102055125045248,❁Fanartist❁Multi for rbw groups:Tomoon⦰ WEVE\\ᵛ Moomoo❖ Plory🝮 Vroccoli🥦,Spark 🦁 Met Swanie ♤ ♡,https://pbs.twimg.com/profile_images/1518704202427551744/g6M0YJKB_normal.jpg,https://t.co/MKY6Rsizeo,"{'followers_count': 1178, 'following_count': 363, 'tweet_count': 28531, 'listed_count': 19}",MooTomoon,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/MKY6Rsizeo', 'expanded_url': 'https://mootomoon.carrd.co/', 'display_url': 'mootomoon.carrd.co'}]}}",She/her United States 🇺🇸 ,1410372633061900289
59,False,False,122791742,local fangirl who’s constantly yelling at the bigfoot ¯\_(ツ)_/¯,bryce,https://pbs.twimg.com/profile_images/1509081573928415233/l_2xv6Rz_normal.jpg,,"{'followers_count': 699, 'following_count': 348, 'tweet_count': 21244, 'listed_count': 5}",brystinw,,"Houston, TX",1479789026618097671
60,False,False,719694489087053824,Leftist | Pan & Nonbinary | Black | 20,N0RA,https://pbs.twimg.com/profile_images/1365844239234568193/eqsNfJVB_normal.jpg,,"{'followers_count': 67, 'following_count': 1411, 'tweet_count': 1886, 'listed_count': 0}",N0RAisonline,,They/them,1323401693275414530
61,False,False,1348952909376008192,"athelete U16🏅 C.A. Elche Decatlon
mountaneer🗻🧗‍♀️
instagram: @viictormanzanares_
Paso a Paso...",Victor⚡,https://pbs.twimg.com/profile_images/1348953001017417728/gZQKGR0b_normal.jpg,,"{'followers_count': 28, 'following_count': 194, 'tweet_count': 365, 'listed_count': 0}",ManzanaresSelva,"{'description': {'mentions': [{'start': 61, 'end': 80, 'username': 'viictormanzanares_'}]}}","Elche, Spain",1518248573858721793
