,protected,name,id,description,username,url,verified,profile_image_url,pinned_tweet_id,public_metrics,location,entities
10,False,📚🏹 Erica 🗡☕,1513173015202308100,35 ▪️ Married ▪️ Dog Mom ▪️ Video Games ▪️ Movies ▪️ Books ▪️  Candles ▪️ Screenshots,teawithdovahs,,False,https://pbs.twimg.com/profile_images/1513636506690375684/x_o0Tt2w_normal.jpg,1513177007219257344,"{'followers_count': 112, 'following_count': 204, 'tweet_count': 371, 'listed_count': 0}",Tamriel,
11,False,💚Sofi💚,138095730,"Feminista, no femenina.",basophium,https://t.co/YUkJ5duFoA,False,https://pbs.twimg.com/profile_images/1354170040849985543/wymjwijm_normal.jpg,,"{'followers_count': 325, 'following_count': 267, 'tweet_count': 41793, 'listed_count': 4}","La Plata, Bs As, Argentina.","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/YUkJ5duFoA', 'expanded_url': 'http://instagram.com/basophium', 'display_url': 'instagram.com/basophium'}]}}"
12,False,la tía merche,1288491864786645002,🍅💥,anaiseris,,False,https://pbs.twimg.com/profile_images/1521558493655965696/YoSAVfLU_normal.jpg,,"{'followers_count': 142, 'following_count': 219, 'tweet_count': 15708, 'listed_count': 0}",she/her,
13,False,Unni Philip,168565518,Looking for food,unniphilip,https://t.co/QuH2AkxQFH,False,https://pbs.twimg.com/profile_images/843145737038843904/goj1pG7h_normal.jpg,,"{'followers_count': 81, 'following_count': 262, 'tweet_count': 4713, 'listed_count': 0}","South Carolina, USA","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/QuH2AkxQFH', 'expanded_url': 'https://movember.com/m/unniphilip?mc=1', 'display_url': 'movember.com/m/unniphilip?m…'}]}}"
14,False,Jaishankar,57569363,"Chemical Engineer, 1962 from IIT Kharagpur. Retired engineering consultant.",rjaishankar,,False,https://pbs.twimg.com/profile_images/683628194201755649/MsiSWms0_normal.jpg,,"{'followers_count': 209, 'following_count': 209, 'tweet_count': 2912, 'listed_count': 0}",Mumbai,
15,False,Jacko,1160130818678972416,🌹Sport ⚽ Music 🎵 Books 📚 Left of centre. Nostalgia Fi-Zee-Jacko hashtag games daily 2:30pm and 3:00pm on Sundays with @Zeddeee @rahhead01 + @MrFlibble72LFC🌹,albolt76,,False,https://pbs.twimg.com/profile_images/1520897460129959936/zx1NoPer_normal.jpg,1521985522197045248,"{'followers_count': 15694, 'following_count': 15106, 'tweet_count': 292097, 'listed_count': 13}",,"{'description': {'mentions': [{'start': 118, 'end': 126, 'username': 'Zeddeee'}, {'start': 127, 'end': 137, 'username': 'rahhead01'}, {'start': 140, 'end': 155, 'username': 'MrFlibble72LFC'}]}}"
16,False,samthony scamtano,1061193861521903617,deranged blob screams inane thoughts into the void (he/him),HazeysEon,,False,https://pbs.twimg.com/profile_images/1164945693162844161/bj0iqrhY_normal.jpg,,"{'followers_count': 18, 'following_count': 91, 'tweet_count': 970, 'listed_count': 0}",Ireland,
17,False,Jesús Alberto,597351330,"Intento ser mejor persona, como Earl. #BleedGreen",JAMartinez_12,https://t.co/NaQ9zJrbnI,False,https://pbs.twimg.com/profile_images/1286312273200517121/Khw7MgXn_normal.jpg,,"{'followers_count': 54, 'following_count': 230, 'tweet_count': 885, 'listed_count': 1}","Murcia, Spain","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/NaQ9zJrbnI', 'expanded_url': 'http://instagram.com/jalbertomartinez12', 'display_url': 'instagram.com/jalbertomartin…'}]}, 'description': {'hashtags': [{'start': 38, 'end': 49, 'tag': 'BleedGreen'}]}}"
18,False,GranMazinga,1233381224191795200,,GranMazinga,,False,https://pbs.twimg.com/profile_images/1233381658184880128/AbMmBCrA_normal.jpg,,"{'followers_count': 8, 'following_count': 165, 'tweet_count': 1257, 'listed_count': 2}",,
19,False,Jay Erter,24395289,i hear that everyone you know is more relevant than everyone i know,erter99,http://t.co/8uBoIqmfbJ,False,https://pbs.twimg.com/profile_images/3159027512/95bfbdc389acfe2c5d6344cca368a5cd_normal.jpeg,,"{'followers_count': 308, 'following_count': 338, 'tweet_count': 23837, 'listed_count': 0}",Nashvegas,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/8uBoIqmfbJ', 'expanded_url': 'http://youremindmeofatvshow.blogspot.com', 'display_url': 'youremindmeofatvshow.blogspot.com'}]}}"
20,False,🏆 kopASIERreala ⚽,126166138,🏆 Premio @GipuzkoaKirolak 2015 🏆 | 🙌 Aficionado @RealSociedad 💙 | 👔 Manager @PcFutbol ⚽,aguadoasier,https://t.co/fE7noP13vQ,False,https://pbs.twimg.com/profile_images/1408016757252628483/8oyUuXKw_normal.jpg,1519987728024231936,"{'followers_count': 606, 'following_count': 929, 'tweet_count': 48693, 'listed_count': 30}",Altza (barrio Donostia),"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/fE7noP13vQ', 'expanded_url': 'https://www.facebook.com/ErrealaTU/', 'display_url': 'facebook.com/ErrealaTU/'}]}, 'description': {'mentions': [{'start': 9, 'end': 25, 'username': 'GipuzkoaKirolak'}, {'start': 48, 'end': 61, 'username': 'RealSociedad'}, {'start': 76, 'end': 85, 'username': 'PcFutbol'}]}}"
21,False,Craig Sesker,39291918,"Sports Editor, Quincy (IL) Herald-Whig. 
Father, grandfather. Award-winning sportswriter and author who has written 15 books.",craigsesker,,False,https://pbs.twimg.com/profile_images/773348740312608768/LeRgQ4LF_normal.jpg,,"{'followers_count': 3689, 'following_count': 4878, 'tweet_count': 9999, 'listed_count': 62}","Quincy, IL",
22,False,適当君,1463930297817317380,てきとうくん/音MAD用 https://t.co/ccy2gFqVaw,tekitoukun1123,,False,https://pbs.twimg.com/profile_images/1505743858365517826/e7D8rZyt_normal.jpg,,"{'followers_count': 21, 'following_count': 22, 'tweet_count': 148, 'listed_count': 0}",,"{'description': {'urls': [{'start': 13, 'end': 36, 'url': 'https://t.co/ccy2gFqVaw', 'expanded_url': 'https://www.youtube.com/channel/UC-ItPZHMEkU7JFcBESykfgw', 'display_url': 'youtube.com/channel/UC-ItP…'}]}}"
23,False,Mary | I #GISH therefore I am,77724397,"living. human. girl. vivid dreamer. occasional artist. (She/her)
Gish Team @is_damage
""Solidly grownup"" Misha Collins",marvfortytwo,https://t.co/eGscIJgkAa,False,https://pbs.twimg.com/profile_images/1455580209923637252/nUG2FQbb_normal.jpg,1476999401377828866,"{'followers_count': 305, 'following_count': 1697, 'tweet_count': 7208, 'listed_count': 12}",,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/eGscIJgkAa', 'expanded_url': 'https://linktr.ee/Marvfortytwo', 'display_url': 'linktr.ee/Marvfortytwo'}]}, 'description': {'mentions': [{'start': 75, 'end': 85, 'username': 'is_damage'}]}}"
24,False,Laura Scott,1962781062,,LauraScott251,,False,https://pbs.twimg.com/profile_images/1169585327377399816/438zaiYc_normal.jpg,,"{'followers_count': 1, 'following_count': 69, 'tweet_count': 205, 'listed_count': 0}",,
25,False,lauren,2705321231,fan account.,sheinventedyou,,False,https://pbs.twimg.com/profile_images/1478741190203879428/BR7pAuqJ_normal.jpg,1457868674631602176,"{'followers_count': 1969, 'following_count': 1563, 'tweet_count': 68472, 'listed_count': 11}","she/her, 20",
26,False,Nimish Sutaria,579707307,,NimishSutaria,,False,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1388791549174030336,"{'followers_count': 56, 'following_count': 112, 'tweet_count': 1322, 'listed_count': 0}",,
27,False,sarah🪐,1509831165192007680,,potathoh,,False,https://pbs.twimg.com/profile_images/1509833799680417797/Gi7rTyw-_normal.jpg,,"{'followers_count': 5, 'following_count': 12, 'tweet_count': 31, 'listed_count': 0}",she/her,
28,False,Peter Smallbone,26206753,Cloud computing architect. Sometime podcaster. Former councillor @BhamCityCouncil. Husband and father. RT ≠ endorse #Catholic #AVFC,PeterSmallbone,https://t.co/Jf2rz7d56d,False,https://pbs.twimg.com/profile_images/1194220865736577027/iZ4t0d-V_normal.jpg,,"{'followers_count': 1463, 'following_count': 4996, 'tweet_count': 6496, 'listed_count': 62}","Moseley, Birmingham, England","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Jf2rz7d56d', 'expanded_url': 'http://smlb.in/1vRMPOZ', 'display_url': 'smlb.in/1vRMPOZ'}]}, 'description': {'hashtags': [{'start': 116, 'end': 125, 'tag': 'Catholic'}, {'start': 126, 'end': 131, 'tag': 'AVFC'}], 'mentions': [{'start': 65, 'end': 81, 'username': 'BhamCityCouncil'}]}}"
29,False,James Murphy,2255082027,,jamesmurphy691,,False,https://pbs.twimg.com/profile_images/419775383483867136/OfcEfGH3_normal.jpeg,,"{'followers_count': 192, 'following_count': 2559, 'tweet_count': 260, 'listed_count': 0}",Surrey,
30,False,Randy Sr,1296538779474251776,Java software engineer for Coinme Inc. Artist and musician. https://t.co/M3mn8wzEoG. Big bird is my spirit animal. Overeducated.,randysrkamradt1,https://t.co/MPnfhgqPnn,False,https://pbs.twimg.com/profile_images/1329972374477836288/OsOqhG9r_normal.jpg,1383521858474020880,"{'followers_count': 231, 'following_count': 191, 'tweet_count': 2137, 'listed_count': 7}",The New French Riviera,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/MPnfhgqPnn', 'expanded_url': 'https://medium.com/@rlkamradt', 'display_url': 'medium.com/@rlkamradt'}]}, 'description': {'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/M3mn8wzEoG', 'expanded_url': 'http://rkamradt.github.io', 'display_url': 'rkamradt.github.io'}]}}"
31,False,David Gordon 🇺🇦,756580301040594946,"I'm too old, too tired and too talented for any of that shit.",dlgordon60,,False,https://pbs.twimg.com/profile_images/1286525602342805511/XWIjc7NB_normal.jpg,,"{'followers_count': 56, 'following_count': 762, 'tweet_count': 1217, 'listed_count': 0}","Chico, CA",
32,False,Paco,1512138149023076356,,paco0492,,False,https://pbs.twimg.com/profile_images/1512412070557495308/Xg7SpprL_normal.jpg,,"{'followers_count': 252, 'following_count': 336, 'tweet_count': 1182, 'listed_count': 0}","Madrid, España",
33,False,Usyard,1427308270461542411,,Usyard2,,False,https://pbs.twimg.com/profile_images/1488522774280917004/6FDkraZ1_normal.jpg,,"{'followers_count': 2, 'following_count': 24, 'tweet_count': 1218, 'listed_count': 0}",,
34,False,Irette,15709497,"I write. I garden. I read. I love musicals.
Newsletter - https://t.co/XtYPP7BkqQ",Irette,,False,https://pbs.twimg.com/profile_images/1448050953836498953/OI1bcb5I_normal.jpg,,"{'followers_count': 909, 'following_count': 1462, 'tweet_count': 13388, 'listed_count': 33}","Atlanta, GA","{'description': {'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/XtYPP7BkqQ', 'expanded_url': 'http://irette.substack.com', 'display_url': 'irette.substack.com'}]}}"
35,False,SombraSST♥️💙💚,2857135450,,SombraSST,https://t.co/bRBsMpkGT6,False,https://pbs.twimg.com/profile_images/1373428216573140993/IKh8o6zT_normal.jpg,1460335131902844930,"{'followers_count': 394, 'following_count': 430, 'tweet_count': 27673, 'listed_count': 2}","Tenerife, Islas Canarias","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/bRBsMpkGT6', 'expanded_url': 'https://www.fanfiction.net/u/4460756/', 'display_url': 'fanfiction.net/u/4460756/'}]}}"
36,False,Angel DP,106396675,Fútbol. Y más deportes. Intentando pasar un buen rato.,ANGELDIAZ14,https://t.co/EC8soFefPp,False,https://pbs.twimg.com/profile_images/1420302463920447489/UPqEIp3O_normal.jpg,1426205341491113990,"{'followers_count': 366, 'following_count': 433, 'tweet_count': 179609, 'listed_count': 47}",Moderdonia,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/EC8soFefPp', 'expanded_url': 'https://angel14w.wordpress.com/', 'display_url': 'angel14w.wordpress.com'}]}}"
37,False,Tayo,419056683,,FarukhStones,,False,https://pbs.twimg.com/profile_images/1517950271577632768/uZIehuNv_normal.jpg,,"{'followers_count': 1469, 'following_count': 1975, 'tweet_count': 357581, 'listed_count': 43}",Lagos,
38,False,Pikaout,935247262715973635,"El objetivo no es ganar, es jugar una hermosa partida",dagamu99,,False,https://pbs.twimg.com/profile_images/1422855609960042500/t0CbY9tf_normal.jpg,,"{'followers_count': 98, 'following_count': 355, 'tweet_count': 5144, 'listed_count': 0}",El Eolio,
39,False,RONALD M BAUM MD,1056612198,,baum_md,,False,https://pbs.twimg.com/profile_images/419730366643990528/tPkywA46_normal.jpeg,,"{'followers_count': 66, 'following_count': 82, 'tweet_count': 5629, 'listed_count': 5}",,
40,False,Xei ✨,1247497599327834113,"✶ 𝓜𝔂 𝓼𝓸𝓾𝓵 𝓲𝓼 𝓪𝓵𝔀𝓪𝔂𝓼 𝔀𝓲𝓽𝓱 𝔂𝓸𝓾 ✶
24✌🏼",Animeatutiplen,https://t.co/53yRXIuhBz,False,https://pbs.twimg.com/profile_images/1501947588756447236/rB04t_o__normal.jpg,1369653363139284993,"{'followers_count': 287, 'following_count': 344, 'tweet_count': 11020, 'listed_count': 9}","Galicia, España","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/53yRXIuhBz', 'expanded_url': 'https://anilist.co/user/animeatuti/', 'display_url': 'anilist.co/user/animeatut…'}]}}"
41,False,Nuria Cortina,1063358369682079744,,cortina_nuria,,False,https://pbs.twimg.com/profile_images/1318486955844304896/tDJ3E1G3_normal.jpg,,"{'followers_count': 1, 'following_count': 24, 'tweet_count': 122, 'listed_count': 0}",,
42,False,Ismael MC,1159833001598935040,Graduated in Political Science,ismamc1999,,False,https://pbs.twimg.com/profile_images/1294305351504990210/Aj-uTCoA_normal.jpg,1203643059323506688,"{'followers_count': 104, 'following_count': 582, 'tweet_count': 3910, 'listed_count': 0}","Málaga, España",
43,False,🐞Bobbie (Redacted),30176215,"Peaceful, but not passive. I don't have haters. Judge your muva. Creator/author of @OPotomac",Miss_Bobbiedoll,,False,https://pbs.twimg.com/profile_images/1516392821967699976/TPaLXPmJ_normal.jpg,1470131674939801602,"{'followers_count': 958, 'following_count': 943, 'tweet_count': 28454, 'listed_count': 9}",DC Area,"{'description': {'mentions': [{'start': 83, 'end': 92, 'username': 'OPotomac'}]}}"
44,False,In The Bleak Midwinter☀️🇪🇺⎊ ४❄️,75360445,"Monica, 26, INTJ-T Italian, daydreamer, #screenwriter . Suprematista Femminista, FABER EST SUAE QUISQUE FORTUNAE (fan account) - She/her | DoP member 𓅚",tladyinthetower,https://t.co/JZsiKTq86y,False,https://pbs.twimg.com/profile_images/1479915581495296005/7SSEaFTE_normal.jpg,1507327286445428742,"{'followers_count': 2177, 'following_count': 2098, 'tweet_count': 89986, 'listed_count': 33}",Italy,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/JZsiKTq86y', 'expanded_url': 'https://allthatcinema.wordpress.com', 'display_url': 'allthatcinema.wordpress.com'}]}, 'description': {'hashtags': [{'start': 40, 'end': 53, 'tag': 'screenwriter'}]}}"
45,False,Louisa Magnus,241824134,,LetitiaMaggie,,False,https://pbs.twimg.com/profile_images/1338190966/061_normal.JPG,,"{'followers_count': 106, 'following_count': 725, 'tweet_count': 20562, 'listed_count': 2}","Victoria, Australia",
46,False,JC,4798243280,"loves - my mini's happiness, new low carb recipes, crafts for my mini person, 5ks, and NKOTB.",j_carr1013,,False,https://pbs.twimg.com/profile_images/690877617008934913/eElVRRnZ_normal.jpg,,"{'followers_count': 13, 'following_count': 74, 'tweet_count': 519, 'listed_count': 1}","Pennsylvania, USA",
47,False,Rakesh Pillai,40294758,,PillaiR,,False,https://pbs.twimg.com/profile_images/3613004408/eee7e6efd1f137999631755f4a91ff91_normal.jpeg,,"{'followers_count': 29, 'following_count': 143, 'tweet_count': 140, 'listed_count': 2}",,
48,False,alejandro,1163899205359984641,💘🧚🏻‍♂️✨🌱🌧🎙,Aaponcee1,https://t.co/NNeg3bga4v,False,https://pbs.twimg.com/profile_images/1486798355585978371/gVSwRMsJ_normal.jpg,,"{'followers_count': 188, 'following_count': 412, 'tweet_count': 4592, 'listed_count': 0}",barcelona ☀️,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/NNeg3bga4v', 'expanded_url': 'https://www.instagram.com/aaponcee_14/', 'display_url': 'instagram.com/aaponcee_14/'}]}}"
49,False,burçin koçoğlu,577341769,,burcindir,,False,https://pbs.twimg.com/profile_images/2209978076/5bx9hU4e_normal,,"{'followers_count': 16, 'following_count': 73, 'tweet_count': 166, 'listed_count': 0}",,
50,False,CHAMPION FX 🏁,121183566,"CHAMPION FOREX ♏🐸🦒
#XLM & #XRP / #SHIB #DOGE #TRX #ETN   
$CATS

Cheers to the future ,, All Glory to GOD be safe & be kind ~*   C.S.S.M.L.🐅N.D.S.M.D.🍊",stellaripple,https://t.co/jzcaQVOB59,False,https://pbs.twimg.com/profile_images/1520427357731016707/FsqtjTme_normal.jpg,833317956050378752,"{'followers_count': 728, 'following_count': 1040, 'tweet_count': 7564, 'listed_count': 44}","New Mexico, USA","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/jzcaQVOB59', 'expanded_url': 'http://minepi.com/zanniroc', 'display_url': 'minepi.com/zanniroc'}]}, 'description': {'hashtags': [{'start': 19, 'end': 23, 'tag': 'XLM'}, {'start': 26, 'end': 30, 'tag': 'XRP'}, {'start': 33, 'end': 38, 'tag': 'SHIB'}, {'start': 39, 'end': 44, 'tag': 'DOGE'}, {'start': 45, 'end': 49, 'tag': 'TRX'}, {'start': 50, 'end': 54, 'tag': 'ETN'}], 'cashtags': [{'start': 58, 'end': 63, 'tag': 'CATS'}]}}"
51,False,Roderick Carter,25227422,,rodgcarter,,False,https://pbs.twimg.com/profile_images/115860512/11-08_172_edited_normal.jpg,,"{'followers_count': 76, 'following_count': 994, 'tweet_count': 422, 'listed_count': 3}","Chicago, IL",
52,False,Truth Social Junk Bonds Fox,258049193,"Life, the universe...everything really.",TheBigFoxx,,False,https://pbs.twimg.com/profile_images/1902419117/cc13dd5e-3e3d-4b05-bdac-cd0af74fca94_normal.png,868194098158727168,"{'followers_count': 1128, 'following_count': 1227, 'tweet_count': 216084, 'listed_count': 53}",Somewhere ,
53,False,Bills and Mets Fan,1466178154058375171,,BillsFan178,,False,https://pbs.twimg.com/profile_images/1520231698750922753/xFY3Qhxt_normal.jpg,,"{'followers_count': 493, 'following_count': 1631, 'tweet_count': 1892, 'listed_count': 2}","Wilkes-Barre, PA",
54,False,FerElTomateAzul 🦇🇪🇦,1362849016468414468,Los poderosos me han suspendido 994 cuentas pero lo denigrante es denigrante y lo que no es denigrante no es denigrante,FerElTomatxAzul,https://t.co/eY4eu6hhwl,False,https://pbs.twimg.com/profile_images/1520041992843059203/bxH4b0Ha_normal.jpg,,"{'followers_count': 2105, 'following_count': 404, 'tweet_count': 27112, 'listed_count': 3}",Ruinas de templo tomate ,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/eY4eu6hhwl', 'expanded_url': 'http://Twitch.tv/fereltomateazul_', 'display_url': 'Twitch.tv/fereltomateazu…'}]}}"
55,False,Marie,25443848,Highly caffeinated PGY-1 in pediatrics + child/adolescent psychiatry.  Gryffindor⚡,PhdPooh,,False,https://pbs.twimg.com/profile_images/1484255881403453440/UyBLYxHl_normal.jpg,,"{'followers_count': 49, 'following_count': 51, 'tweet_count': 19485, 'listed_count': 19}",Boston,
56,False,MVPKate,1863340376,"I travel and I concert, sometimes travel so I can concert 🛫🎶",katherineitro,,False,https://pbs.twimg.com/profile_images/1193550963648409603/5EErhCSR_normal.jpg,,"{'followers_count': 565, 'following_count': 1244, 'tweet_count': 12621, 'listed_count': 1}",,
57,False,Manuel Oliver,196653613,"Karl Marx: ""De cada cual según sus capacidades, a cada cual según sus necesidades"".",MOliverM,,False,https://pbs.twimg.com/profile_images/1350916015971037186/dpbbSMpL_normal.jpg,635418471900278784,"{'followers_count': 271, 'following_count': 264, 'tweet_count': 14313, 'listed_count': 3}",Tomares,
58,False,ℂ𝕒𝕣,193232131,Granaína de adopción y de alma. Hija de Manolo y María José. Insomne. Exagerada. Enamorada. Tita y titita. ¡Sí se puede! 🎭🎭,CarmelaVilchez,https://t.co/tt4xacOQSv,False,https://pbs.twimg.com/profile_images/1282017969145511937/Chn8a-rL_normal.jpg,,"{'followers_count': 295, 'following_count': 425, 'tweet_count': 6627, 'listed_count': 1}",Granada,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/tt4xacOQSv', 'expanded_url': 'http://instagram.com/carmelatruf', 'display_url': 'instagram.com/carmelatruf'}]}}"
59,False,Elisa,337196642,e4.Málaga.e5.,miquinta1,,False,https://pbs.twimg.com/profile_images/1315552765758799872/LZiXPawQ_normal.jpg,,"{'followers_count': 3264, 'following_count': 488, 'tweet_count': 39826, 'listed_count': 25}",,
60,False,*SICK of everything - get out of the womb’s,2619644310,#FinsUp #Heat 🔥#FSU 🍢🍢❤️Georgetown Hoyas 🏀 too. Happily legally Married. #BLM #Resister -🎾 #Serena - All views expressed are for me. NYTimes repeater.,leannemedina16,,False,https://pbs.twimg.com/profile_images/1474017656101556226/RGdJPYiC_normal.jpg,1496873070514130949,"{'followers_count': 868, 'following_count': 1792, 'tweet_count': 13647, 'listed_count': 9}","Native of FL.-Ballston Spa,NY","{'description': {'hashtags': [{'start': 0, 'end': 7, 'tag': 'FinsUp'}, {'start': 8, 'end': 13, 'tag': 'Heat'}, {'start': 15, 'end': 19, 'tag': 'FSU'}, {'start': 73, 'end': 77, 'tag': 'BLM'}, {'start': 78, 'end': 87, 'tag': 'Resister'}, {'start': 91, 'end': 98, 'tag': 'Serena'}]}}"
61,False,‎rya 🍂,1315365005219463170,𔘓 any pronouns ˖࣪⋆ ࣪ ، 𖥔𝘄𝘄𝘄.arminarlert.𝗰𝗼𝗺 𓂃 ִֶָ★̲,HUGD3NJI,,False,https://pbs.twimg.com/profile_images/1517562728377982976/uE9dUtil_normal.jpg,1379928924763910149,"{'followers_count': 256, 'following_count': 237, 'tweet_count': 3741, 'listed_count': 7}",☆% 𝗧𝗛𝗜𝗦 𝗨𝗦𝗘𝗥 𝗟꩜𝗩𝗘𝗦 #DENJI!! うわー！私は彼をとても愛しています ૮ ˃̵֊ ˂̵ ა??! それは私にとってすべてです!! ,
62,False,Danny McInnis,395028973,"Insurance Broker , Ringette Coach , Dad , Amateur Photographer, Golfer, Sailor and Pontoon Boat Captain…",DannyNighthawk,,False,https://pbs.twimg.com/profile_images/1102752333379915776/2Ko87NbP_normal.jpg,,"{'followers_count': 287, 'following_count': 779, 'tweet_count': 507, 'listed_count': 5}","Charlottetown, PEI",
