,description,url,verified,profile_image_url,location,id,pinned_tweet_id,username,entities,name,protected,public_metrics
10,"このえです、またの名をすたーさん。
元攻雑調味料愛好家かつ元居酒屋きめぇまる在住者、酒は健康飲料品🍶🦍 🍺
鈴鹿詩子お姉さんとちくわちゃん推し🎶🍢",https://t.co/tUhz4peRQB,False,https://pbs.twimg.com/profile_images/1514951578230296578/KO5wwv16_normal.jpg,ブルワリー,91557904,1475025789364359169,konoe9,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/tUhz4peRQB', 'expanded_url': 'http://www.nicovideo.jp/user/182455', 'display_url': 'nicovideo.jp/user/182455'}]}}",此枝🍶,False,"{'followers_count': 631, 'following_count': 608, 'tweet_count': 228042, 'listed_count': 30}"
11,"TheFlame&MyReason ➡️Padre/Father;Sofía,Bruno,E.Matías/Filomena🐾/Life Gift!/Maravilloso Regalo de La Vida! #EnjoyingLife! Entrepreneur/RealState/StartUps/Sports",,False,https://pbs.twimg.com/profile_images/465951018719916035/5zIL9etj_normal.jpeg,BCN/BSL/BERlin/BINIdalí/MVD/,300288188,,elNegroSantin,"{'description': {'hashtags': [{'start': 106, 'end': 119, 'tag': 'EnjoyingLife'}]}}",EnriqueElNegroSantín - 🟡⚫️,False,"{'followers_count': 416, 'following_count': 2669, 'tweet_count': 4778, 'listed_count': 21}"
12,メイド喫茶が好きなスーパーカブ乗りですがヘッダーはVTR250です。次→なし,,False,https://pbs.twimg.com/profile_images/1360193038597775360/6FO-DM1x_normal.jpg,GJ部,3096257527,1514445574241927171,larks_no,,あさひ.K,False,"{'followers_count': 154, 'following_count': 600, 'tweet_count': 25856, 'listed_count': 4}"
13,📢https://t.co/xrafQOtsMY /  #モダンExcel入門 📗（日経BP）https://t.co/vR5pJc47fH / CPA 🇯🇵 / Data Analyst📈 / 【note】💕https://t.co/BVihVjKusw,https://t.co/w53H6U8vWn,False,https://pbs.twimg.com/profile_images/1406809236135235598/BKXiNW74_normal.jpg,,1373541747335200773,1439403788524134403,moexken,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/w53H6U8vWn', 'expanded_url': 'https://excel.value.or.jp/?page_id=2745', 'display_url': 'excel.value.or.jp/?page_id=2745'}]}, 'description': {'urls': [{'start': 1, 'end': 24, 'url': 'https://t.co/xrafQOtsMY', 'expanded_url': 'https://excel.value.or.jp', 'display_url': 'excel.value.or.jp'}, {'start': 47, 'end': 70, 'url': 'https://t.co/vR5pJc47fH', 'expanded_url': 'http://amzn.to/3gEZgih', 'display_url': 'amzn.to/3gEZgih'}, {'start': 105, 'end': 128, 'url': 'https://t.co/BVihVjKusw', 'expanded_url': 'https://note.com/moexken/n/n913329d6ee64', 'display_url': 'note.com/moexken/n/n913…'}], 'hashtags': [{'start': 28, 'end': 39, 'tag': 'モダンExcel入門'}]}}",モダンExcel研究所 / モEx研 / 📕 モダンEXCEL入門（日経BP）著者,False,"{'followers_count': 399, 'following_count': 137, 'tweet_count': 1363, 'listed_count': 10}"
14,既婚子持ちゲーマー/ニチアサ民/森久保P/ボイトイ系そこそこ/スプラトゥーン2 ウデマエS〜S+1くらいのスシ系使い ホビー系動画をYouTubeにて不定期投稿してます,https://t.co/IR2tTQVdLb,False,https://pbs.twimg.com/profile_images/1497554380069154817/xbOd005c_normal.jpg,,336349417,1521809344219664384,kikyokeaki,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/IR2tTQVdLb', 'expanded_url': 'https://m.youtube.com/channel/UC0sWNfm33CCrax21LEFZF9w', 'display_url': 'm.youtube.com/channel/UC0sWN…'}]}}",桔梗,False,"{'followers_count': 132, 'following_count': 161, 'tweet_count': 46353, 'listed_count': 4}"
15,Who is the man in the box?  Tune in and see!,https://t.co/19cb7dseGI,False,https://pbs.twimg.com/profile_images/132058489/boxhead_sky_normal.jpg,"Dieppe, New Brunswick, Canada",30253546,,misterboxhead,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/19cb7dseGI', 'expanded_url': 'http://www.misterboxhead.com', 'display_url': 'misterboxhead.com'}]}}",Chris Budd,False,"{'followers_count': 21, 'following_count': 126, 'tweet_count': 1160, 'listed_count': 0}"
16,れさみうんこ💩,,False,https://pbs.twimg.com/profile_images/1213869094/Image172_normal.jpg,,14182132,,mochige,,もちげ,False,"{'followers_count': 44, 'following_count': 99, 'tweet_count': 13124, 'listed_count': 2}"
17,"River 🐓⚪🔴
Quilmes ⚫🔴⚪",https://t.co/wYIsuImo7c,False,https://pbs.twimg.com/profile_images/1497981178040569858/MIExeANF_normal.jpg,Mar del Plata,578676784,1397536785492811779,LucaSciacco,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/wYIsuImo7c', 'expanded_url': 'https://www.instagram.com/sci4cco_', 'display_url': 'instagram.com/sci4cco_'}]}}",Sci4cco_,False,"{'followers_count': 183, 'following_count': 744, 'tweet_count': 31754, 'listed_count': 3}"
18,"Director, Office of #ExperientialEd @LifeatPurdue. Clinical Associate Professor of HDFS. Purdue & UMass alumna. Mom. Wife. Music lover. Opinions are my own.",,False,https://pbs.twimg.com/profile_images/1076143355984338944/Fdnpxf5E_normal.jpg,,1076140110968688640,1508579319018369031,JenDobbsOates,"{'description': {'hashtags': [{'start': 20, 'end': 35, 'tag': 'ExperientialEd'}], 'mentions': [{'start': 36, 'end': 49, 'username': 'LifeatPurdue'}]}}",Jennifer Dobbs-Oates,False,"{'followers_count': 464, 'following_count': 642, 'tweet_count': 3390, 'listed_count': 2}"
19,,,False,https://pbs.twimg.com/profile_images/1053242281287958528/rH55Lgjl_normal.jpg,,885428547803906048,,kilopondia_,,Clara,False,"{'followers_count': 18, 'following_count': 106, 'tweet_count': 401, 'listed_count': 0}"
20,"TRPGとかそのへん
ポイピク→https://t.co/RQVVPzXO8h
直人ガチャ→https://t.co/mggT2ZHisw",https://t.co/bYA7AlbEnx,False,https://pbs.twimg.com/profile_images/1510155426524180480/n835_ZQF_normal.jpg,皿,4548676213,,tktuyu,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/bYA7AlbEnx', 'expanded_url': 'https://imohoku.booth.pm', 'display_url': 'imohoku.booth.pm'}]}, 'description': {'urls': [{'start': 16, 'end': 39, 'url': 'https://t.co/RQVVPzXO8h', 'expanded_url': 'http://poipiku.com/27984/', 'display_url': 'poipiku.com/27984/'}, {'start': 46, 'end': 69, 'url': 'https://t.co/mggT2ZHisw', 'expanded_url': 'https://shindanmaker.com/1087149', 'display_url': 'shindanmaker.com/1087149'}]}}",イモマン,False,"{'followers_count': 57, 'following_count': 59, 'tweet_count': 26864, 'listed_count': 3}"
21,Boring 34yo homebody with disabilities ~ she/her ~ 💗💛💙,,False,https://pbs.twimg.com/profile_images/1507864844967493642/vWZUpnI8_normal.jpg,Nowhere important,1274861278956269568,,thefatginge,,full-bodied red 🍷,False,"{'followers_count': 58, 'following_count': 305, 'tweet_count': 6316, 'listed_count': 0}"
22,,,False,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,122712960,,mankiparkk,,Manki Park,False,"{'followers_count': 106, 'following_count': 1326, 'tweet_count': 427, 'listed_count': 3}"
23,https://t.co/eiKJF4SDu8│https://t.co/WiO8GafV8Q,,False,https://pbs.twimg.com/profile_images/1521880452810043392/zEEKeG4K_normal.jpg,タンポポと結婚してます。,834364918954536960,1523646114460626944,Lyon_Gucchan,"{'description': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/eiKJF4SDu8', 'expanded_url': 'http://instagram.com/l1.gu', 'display_url': 'instagram.com/l1.gu'}, {'start': 24, 'end': 47, 'url': 'https://t.co/WiO8GafV8Q', 'expanded_url': 'http://twpf.jp/lyon_gucchan', 'display_url': 'twpf.jp/lyon_gucchan'}]}}",ぐ,False,"{'followers_count': 678, 'following_count': 362, 'tweet_count': 128578, 'listed_count': 11}"
24,"最近は緑の成分が多めです🪴 #観葉植物 #ベランダ菜園。
縄跳びダイエットの活動の様子もつぶやきます。
Windows用のスクショツール #Screenpresso と #ShareX の日本語翻訳のボランティアをやってます。雑記なブログも適当にやってます。",https://t.co/6beccwZKug,False,https://pbs.twimg.com/profile_images/1236539389288656897/9vdCjgDV_normal.jpg,,1231538856240893953,,kanaxx43,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/6beccwZKug', 'expanded_url': 'https://kanaxx.hatenablog.jp/', 'display_url': 'kanaxx.hatenablog.jp'}]}, 'description': {'hashtags': [{'start': 14, 'end': 19, 'tag': '観葉植物'}, {'start': 20, 'end': 27, 'tag': 'ベランダ菜園'}, {'start': 69, 'end': 82, 'tag': 'Screenpresso'}, {'start': 85, 'end': 92, 'tag': 'ShareX'}]}}",kanaxx,False,"{'followers_count': 475, 'following_count': 615, 'tweet_count': 2770, 'listed_count': 4}"
25,ᵕ·̮ᵕ 𝘛𝘳𝘪𝘤𝘬𝘴𝘵𝘦𝘳 • 𝘈𝘊𝘕𝘏 • 𝘓𝘰𝘏 • 𝘍𝘍 14 𝘦𝘵𝘤.,,False,https://pbs.twimg.com/profile_images/1519903202715471872/orQKVLNX_normal.jpg,PRESS Ⓑ /I:@지축커미션,819162337273708544,1510669549024079873,minoritysweetz,,도록쿵야,False,"{'followers_count': 103, 'following_count': 102, 'tweet_count': 10366, 'listed_count': 0}"
26,"次世代シーケンサー、BioInformatics、HPCとかの話題？運用もするけど運用は専門じゃないよ。依頼された解析はするけど、コードを書くのが本業。顧客の成長を助けるテディベアとかラバーダックみたいな話を聞くお仕事も。

このアカウントの発言は個人の見解であり所属する組織とは無関係ですのでご注意ください。",https://t.co/PABzXD6cAl,False,https://pbs.twimg.com/profile_images/481755432071884800/nkmXVv--_normal.jpeg,,53133627,,yamagu09,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/PABzXD6cAl', 'expanded_url': 'https://github.com/bitsyamagu', 'display_url': 'github.com/bitsyamagu'}]}}",やまぐちだいすけ | fully vaxxed,False,"{'followers_count': 162, 'following_count': 111, 'tweet_count': 49435, 'listed_count': 11}"
27,Left my feelings at the door,,False,https://pbs.twimg.com/profile_images/1310762139292823552/RpXIT1U4_normal.jpg,"Cloverdale, CA",3245439997,1373717214616907778,leo_acevedo362,,Leo_acevedo362,False,"{'followers_count': 129, 'following_count': 245, 'tweet_count': 1689, 'listed_count': 0}"
28,"Putin, idi na chuj ! “ласкаво просимо в пекло”
Mám ráda svého psa, plavbu po moři,  toulky po lese a po horách, návraty do bezpečí mé oblíbené kavárny.",,False,https://pbs.twimg.com/profile_images/1500412505184772101/l63M8e-y_normal.jpg,,1479384600166154241,,monikazmesta,,monikamm 🌻,False,"{'followers_count': 26, 'following_count': 323, 'tweet_count': 1135, 'listed_count': 0}"
29,,,False,https://pbs.twimg.com/profile_images/451528136463634433/y4pv6Iia_normal.jpeg,,71821253,,33_butterfly,,kosz,False,"{'followers_count': 15, 'following_count': 191, 'tweet_count': 209, 'listed_count': 0}"
30,,,False,https://pbs.twimg.com/profile_images/1032608263718793217/e_LGD3dm_normal.jpg,"Guayaquil, Ecuador",114642630,1408787269520068610,danitur28,,Daniel Iturralde,False,"{'followers_count': 415, 'following_count': 911, 'tweet_count': 12421, 'listed_count': 2}"
31,,,False,https://pbs.twimg.com/profile_images/1427602111123034113/yXIigcoF_normal.jpg,,1427600421766549545,,nobrowsing,,Look Over There,False,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 108, 'listed_count': 0}"
32,わぁお お月様とお星様と綺麗なお石様が好き,,False,https://pbs.twimg.com/profile_images/1435993277941960705/Gp9DrQY6_normal.jpg,このキラキラが見えますか？,1435992719545880579,,kasekix_,,ｲﾋ,False,"{'followers_count': 0, 'following_count': 11, 'tweet_count': 412, 'listed_count': 0}"
33,"#Birdland via the Burgh. Love Pitt, the O's, Pirates, & Pearl Jam. Tweets are nonsense and do not represent anyone, including me. #H2P",,False,https://pbs.twimg.com/profile_images/845452740386017280/aVia4Gg8_normal.jpg,Maryland,881442043,788561525107724288,MarylandYinzer,"{'description': {'hashtags': [{'start': 0, 'end': 9, 'tag': 'Birdland'}, {'start': 130, 'end': 134, 'tag': 'H2P'}]}}",Pierogies & Crabcakes,False,"{'followers_count': 553, 'following_count': 1866, 'tweet_count': 6135, 'listed_count': 4}"
34,都内のえんじにゃー | 元(立命館/RCC/RiST) 所属 | xR(A/M/V/D)やってます | Like→ DxLib / Processing(p5) / 3D弾幕 | ヘッダーとアイコンは@WGG_SHさんに描いてもらいました,https://t.co/W8Xpu5otUF,False,https://pbs.twimg.com/profile_images/1096709898216255488/YlVhe_ca_normal.png,京都/滋賀 → 東京,1446601957,1064786700272975872,WGG_SH,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/W8Xpu5otUF', 'expanded_url': 'http://wgg.hatenablog.jp/', 'display_url': 'wgg.hatenablog.jp'}]}, 'description': {'mentions': [{'start': 100, 'end': 107, 'username': 'WGG_SH'}]}}",WGG,False,"{'followers_count': 1055, 'following_count': 903, 'tweet_count': 38955, 'listed_count': 32}"
35,bir tavuk ölse ağlardım kurudum kaldım,,False,https://pbs.twimg.com/profile_images/1312715953118076928/85jVKjJi_normal.jpg,,84013112,,hlykplnn,,Hülya,False,"{'followers_count': 176, 'following_count': 147, 'tweet_count': 1439, 'listed_count': 0}"
36,"Mom of 3 (1 human, 2 furry); wife and co-conspirator; German teacher; lover of all things Swiss; she/her; opinions are my own",,False,https://pbs.twimg.com/profile_images/1407649694067658755/3i2mrRaD_normal.jpg,,1008080979276238848,,FrauPage,,FrauPage,False,"{'followers_count': 699, 'following_count': 689, 'tweet_count': 7496, 'listed_count': 0}"
37,"亜空の聖女　MFブックスより２０２２年１月２５日発売！
「お前には才能がない」と告げられた少女　３巻、発売中です！
TOブックスオンラインストア
https://t.co/VVoMAPIcq4
Amazon
https://t.co/ltsciCGFrC",https://t.co/z079iQLR5N,False,https://pbs.twimg.com/profile_images/1455858197643034624/2DqL1LsM_normal.png,,1363784501432774660,1369618597052485644,ratiumu2,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/z079iQLR5N', 'expanded_url': 'https://mypage.syosetu.com/291544/', 'display_url': 'mypage.syosetu.com/291544/'}]}, 'description': {'urls': [{'start': 73, 'end': 96, 'url': 'https://t.co/VVoMAPIcq4', 'expanded_url': 'http://onl.tw/6BUEtmc', 'display_url': 'onl.tw/6BUEtmc'}, {'start': 104, 'end': 127, 'url': 'https://t.co/ltsciCGFrC', 'expanded_url': 'http://onl.tw/TFsqwst', 'display_url': 'onl.tw/TFsqwst'}]}}",ラチム@「お前には才能がない」と告げられた少女発売中！,False,"{'followers_count': 142, 'following_count': 80, 'tweet_count': 2434, 'listed_count': 4}"
38,"Come to terms with death. Thereafter, anything is possible. --Albert Camus フィッツジェラルドのThe Great Gatsbyの全訳は以下のウェブサイトでご覧ください。#sobercurious",https://t.co/QUQ0TvT51X,False,https://pbs.twimg.com/profile_images/1504694149362372608/D7nStBC7_normal.jpg,"兵庫県神戸市　Kobe, Japan",126669519,1384141785350303747,nakanotaku,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/QUQ0TvT51X', 'expanded_url': 'https://nakanotakufitzgerald.hateblo.jp/', 'display_url': 'nakanotakufitzgerald.hateblo.jp'}]}, 'description': {'hashtags': [{'start': 122, 'end': 135, 'tag': 'sobercurious'}]}}",中野 拓  Taku NAKANO,False,"{'followers_count': 1448, 'following_count': 3189, 'tweet_count': 46853, 'listed_count': 19}"
39,,,False,https://pbs.twimg.com/profile_images/1516527808989782025/0QEJ9ol7_normal.jpg,,1433425817506172935,1512251580761919507,birkyfn,,birky,False,"{'followers_count': 30, 'following_count': 83, 'tweet_count': 1070, 'listed_count': 0}"
40,おいそこのお前！ブラウザバックするなら今のうちだぜ！！！ 藍白(あいじろ)です。創作とかCoCとかｴﾓｸﾛｱ。https://t.co/8TcIjL1SL0｜https://t.co/0FLjllgrSZ ｜icon:じそ｜,,False,https://pbs.twimg.com/profile_images/1521874352933072896/5UO5et11_normal.jpg,波木芸能事務所第2倉庫,794751504242462720,1523676633718476801,aijiro_12,"{'description': {'urls': [{'start': 55, 'end': 78, 'url': 'https://t.co/8TcIjL1SL0', 'expanded_url': 'http://poipiku.com/2119056/', 'display_url': 'poipiku.com/2119056/'}, {'start': 79, 'end': 102, 'url': 'https://t.co/0FLjllgrSZ', 'expanded_url': 'https://fusetter.com/u/aijiro_12', 'display_url': 'fusetter.com/u/aijiro_12'}]}}",藍白@シナリオ,False,"{'followers_count': 103, 'following_count': 111, 'tweet_count': 16005, 'listed_count': 4}"
41,2013.7.13着任。次の海域を目指して五月雨・春雨・竹と一緒に歩みつつ、ゲームの合間にドット絵を描きます（利用規約はtwpfをご確認ください。Repost is prohibited.）／絵：https://t.co/AwlTcU1aSq／ブログ：https://t.co/8wxG8ciEN2,https://t.co/mF75kyW9k8,False,https://pbs.twimg.com/profile_images/1507909219986870276/p-wE2AvX_normal.jpg,母港執務室／ネコマネキ村,2477691211,1478351846326816770,Luimago_JGQD,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/mF75kyW9k8', 'expanded_url': 'http://twpf.jp/Luimago_JGQD', 'display_url': 'twpf.jp/Luimago_JGQD'}]}, 'description': {'urls': [{'start': 98, 'end': 121, 'url': 'https://t.co/AwlTcU1aSq', 'expanded_url': 'http://pixiv.me/luimago', 'display_url': 'pixiv.me/luimago'}, {'start': 126, 'end': 149, 'url': 'https://t.co/8wxG8ciEN2', 'expanded_url': 'http://admiral-luimago.teamblog.jp', 'display_url': 'admiral-luimago.teamblog.jp'}]}}",Luimago＠佐世保鎮守府,False,"{'followers_count': 1045, 'following_count': 288, 'tweet_count': 96657, 'listed_count': 37}"
42,"Article and Novel Author, Wilderness explorer, Gamer",,False,https://pbs.twimg.com/profile_images/995475989441531905/bTCYXbex_normal.jpg,Nashville,188015559,,siravatar,,Matthew,False,"{'followers_count': 85, 'following_count': 356, 'tweet_count': 664, 'listed_count': 2}"
43,"⌜26, QUEJICA⌟ Proyecto de persona. ๑*✩ Si el amor es ciego, la pasión vendada. Daría 𝘁𝗼𝗱𝗼 lo que sé por 𝘁𝗼𝗱𝗼 lo que ignoro.*✿｡.℘",,False,https://pbs.twimg.com/profile_images/1483130319565955072/a20xOWTB_normal.jpg,Dans ma tête,2923770136,639068654332735488,PatatasIdiotas,,Marina,False,"{'followers_count': 131, 'following_count': 122, 'tweet_count': 8373, 'listed_count': 0}"
44,,,False,https://pbs.twimg.com/profile_images/1421857975895920644/31yUtOOE_normal.jpg,,1421857729228902407,,Yellow_lastname,,Y,False,"{'followers_count': 1, 'following_count': 98, 'tweet_count': 38, 'listed_count': 0}"
45,南米民族音楽風生演奏同人サークル「ジャージと愉快な仲間たち」主宰。政治と野球と宗教（東方Project）の話ばっかりする、初対面に難のあるタイプのアカウント。嫌いな言葉は「甘いは旨い」 諸君正論産経新聞東日流外三郡誌←正気を保つための魔除けの呪文,https://t.co/eTwBriePhQ,False,https://pbs.twimg.com/profile_images/565757264833683458/zFwXAZK2_normal.jpeg,シェリーカスクの中,129534447,1522638782754828288,bellwo,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/eTwBriePhQ', 'expanded_url': 'https://jerseyandfriends.tumblr.com', 'display_url': 'jerseyandfriends.tumblr.com'}]}}",べるお【例大祭え08b】,False,"{'followers_count': 922, 'following_count': 475, 'tweet_count': 286393, 'listed_count': 64}"
46,"松長兄とｾｶｲ天馬兄妹＋青柳：推し　20↑↑成人

あんまりtweetしないよ　地獄のコミュ障",,False,https://pbs.twimg.com/profile_images/951134865092624384/wKU8lfxM_normal.jpg,日本,102634552,,yukihalu,,まあ,False,"{'followers_count': 26, 'following_count': 542, 'tweet_count': 12064, 'listed_count': 0}"
47,人生舐めクジ団二代目団長 アイコンは前団長様より グラブル/遊戯王/ポケカ/東方/秘封倶楽部,,False,https://pbs.twimg.com/profile_images/1476888447688519681/yalU5WdG_normal.jpg,玉座,632067825,1297865752494579714,tele0mes,,テレ〆ス,False,"{'followers_count': 170, 'following_count': 234, 'tweet_count': 74799, 'listed_count': 7}"
48,Croaking.  雑食丸呑み。   Frog Photo : Stephen Michael Barnett,,False,https://pbs.twimg.com/profile_images/1563711610/StephenBarnett_normal.jpg,田んぼの慈姑の葉の下,5425682,,diphda,,diphda,False,"{'followers_count': 639, 'following_count': 49, 'tweet_count': 208148, 'listed_count': 86}"
49,ウメチョフ,,False,https://pbs.twimg.com/profile_images/1452457645164564480/zpbX0qy5_normal.jpg,Japan,1272828079979655168,1522775611768717313,umechyov,,ウメ,False,"{'followers_count': 171, 'following_count': 124, 'tweet_count': 11285, 'listed_count': 5}"
50,皆さん、次は夢でお逢いしましょう。へっ!! SBMK33rd→市谷→JTD-M4,,False,https://pbs.twimg.com/profile_images/1504499045032951808/AzIbqLvp_normal.jpg,東京都杉並区阿佐谷南1-25-24むつみ荘201,1298678854429507584,,Biyong_Beyond,,P4,False,"{'followers_count': 82, 'following_count': 169, 'tweet_count': 1231, 'listed_count': 0}"
51,☺️👍🏼,,False,https://pbs.twimg.com/profile_images/1519676994614669315/utQDzUvY_normal.jpg,sadness,1490075425510469640,,julsssgp__,,juls🍂,False,"{'followers_count': 12, 'following_count': 29, 'tweet_count': 182, 'listed_count': 0}"
52,#RadFem. Investigadora. Madre. Expandillera. Guerreando siempre. #gangs #TRANSGANG,https://t.co/3ABtP0l8rf,False,https://pbs.twimg.com/profile_images/520521238901702656/Yu3yUvc9_normal.jpeg,,1650974660,1215695615000223744,Mariah_amazon,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/3ABtP0l8rf', 'expanded_url': 'https://m.youtube.com/watch?v=dS32Meow_1s', 'display_url': 'm.youtube.com/watch?v=dS32Me…'}]}, 'description': {'hashtags': [{'start': 0, 'end': 7, 'tag': 'RadFem'}, {'start': 65, 'end': 71, 'tag': 'gangs'}, {'start': 72, 'end': 82, 'tag': 'TRANSGANG'}]}}",Amazona 💪🏾💜🤍💚,False,"{'followers_count': 2863, 'following_count': 525, 'tweet_count': 40422, 'listed_count': 16}"
53,サイレントヒル出身/学園都市育ち/オータク在住👑,,False,https://pbs.twimg.com/profile_images/2402177742/fgo7lzm4f19o9l1hlaiu_normal.jpeg,"Tokyo, Japan",96163621,,hackberry_rice,,イーツバサ,False,"{'followers_count': 963, 'following_count': 3237, 'tweet_count': 19737, 'listed_count': 3}"
