,location,verified,description,username,url,protected,pinned_tweet_id,name,id,public_metrics,profile_image_url,entities
10,,False,체내 아이유사랑 120프로,mild0516,,False,1242102252329766914,.,941200477399560193,"{'followers_count': 356, 'following_count': 92, 'tweet_count': 19835, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1376547998226767872/X9KxNw_0_normal.jpg,
11,Ohlone Land,False,"Anishnaabe on Chochenyo Ohlone land. Chef, artist, anticapitalist. They/them. 20. Mosi is my cat.",mosisdad,,False,,Nahanni Abel,710130570068529152,"{'followers_count': 70, 'following_count': 210, 'tweet_count': 1816, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1419697258610577410/KwCimiar_normal.jpg,
12,"Mukilteo, WA",False,Korean-American - Asst Coach Everett CC hoops - 2017/18-2020/2021 North Region Champs 🏆 🏆 🏆 🏆 #EverettWay,CoachDTfor3,https://t.co/HVXFcyOnQA,False,1510639560455192582,Daniel Thompson,62097541,"{'followers_count': 986, 'following_count': 960, 'tweet_count': 6330, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1497055602706554882/7j0cmOYj_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/HVXFcyOnQA', 'expanded_url': 'http://www.instagram.com/everett_trojans_mbb/', 'display_url': 'instagram.com/everett_trojan…'}]}, 'description': {'hashtags': [{'start': 94, 'end': 105, 'tag': 'EverettWay'}]}}"
13,,False,Should still be around...,Pyr0king_TB,,False,,C0mplacent G3nius  ♌,850423134,"{'followers_count': 110, 'following_count': 198, 'tweet_count': 5368, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1487195610071461889/pURnA8Ay_normal.jpg,
14,,False,100% positive eBay rating.,ArtMcFall,,False,1001821787213221890,Art McFall,2280870708,"{'followers_count': 101, 'following_count': 153, 'tweet_count': 6882, 'listed_count': 3}",https://pbs.twimg.com/profile_images/1162860383419469827/PqNfTOrr_normal.jpg,
15,"Phuket, thailand",False,"Gaming, chilling and relaxing and chatting. Learning about Minecraft modded and other games come join the community - https://t.co/2kqZeeSU3c",Drag0nboyP,https://t.co/a8DYNLy4Ce,False,,Drag0nboy Phuket,1426484737950961664,"{'followers_count': 49, 'following_count': 119, 'tweet_count': 271, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1426486970771931137/0exlLr1L_normal.png,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/a8DYNLy4Ce', 'expanded_url': 'https://bit.ly/DBP_YouTube', 'display_url': 'bit.ly/DBP_YouTube'}]}, 'description': {'urls': [{'start': 118, 'end': 141, 'url': 'https://t.co/2kqZeeSU3c', 'expanded_url': 'https://www.twitch.tv/drag0nboyphuket', 'display_url': 'twitch.tv/drag0nboyphuket'}]}}"
16,New Zealand,False,Mum of kids who snort when they laugh - my little giggle-pigs,gigglepig007,,False,1440888200591921160,Giggle Pig,1287854934377914371,"{'followers_count': 58, 'following_count': 492, 'tweet_count': 2571, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1386571346688184325/-PYYZ11e_normal.jpg,
17,25 | Canada 🌹,False,"» Jesse ◊ gaming enthusiast, dice enthusiast, feminist ◊ founder of @ezalgbtq ◊ content creator ◊ icon by @estherdevil",navyblueprince,https://t.co/keunM9Ungo,False,1481279803571515396,cr vids every monday 🌹 bIm~acab,60745115,"{'followers_count': 553, 'following_count': 1811, 'tweet_count': 15807, 'listed_count': 4}",https://pbs.twimg.com/profile_images/1468643933056114691/vgIqSgEd_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/keunM9Ungo', 'expanded_url': 'https://linktr.ee/navyblueprince', 'display_url': 'linktr.ee/navyblueprince'}]}, 'description': {'mentions': [{'start': 68, 'end': 77, 'username': 'ezalgbtq'}, {'start': 106, 'end': 118, 'username': 'estherdevil'}]}}"
18,,False,cambrian bumblebee (he/they),aerospoon,,False,,tricki woo stan account,50020580,"{'followers_count': 465, 'following_count': 351, 'tweet_count': 33107, 'listed_count': 10}",https://pbs.twimg.com/profile_images/1179710186686205957/93s2EuER_normal.jpg,
19,"Vancouver, British Columbia",False,"birds, bees, clouds, and trees 🌎 geographical sciences undergrad 🌍 23 • they/she",birdsandorbees,,False,,martha,1266201603893194753,"{'followers_count': 76, 'following_count': 1093, 'tweet_count': 659, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1522750276582531073/AivQ55Ng_normal.jpg,
20,,False,20 | เหนื่อยกับการมีชีวิตอยู่,ffenglinn,,False,1521478001510166528,𝙚𝙢𝙥𝙩𝙮,1299357865296015360,"{'followers_count': 1, 'following_count': 220, 'tweet_count': 24852, 'listed_count': 9}",https://pbs.twimg.com/profile_images/1488967266880217090/qNXprM8v_normal.jpg,
21,the Krell void,False,"he/him - 21, chessboard eater 2: oc arc, tweet stealer, wall dweller, automaton determiner",man_beverage,,False,1505358276820623364,chessboard GOD: catboy arc,1395875028466548741,"{'followers_count': 50, 'following_count': 345, 'tweet_count': 5897, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1436015025911697415/dZs9PEFt_normal.jpg,
22,,False,43. Married. She/her. 👩‍🌾🐞🥾🌈🧶,vivir900,,False,,ViviAnne,817640783993917440,"{'followers_count': 60, 'following_count': 340, 'tweet_count': 1702, 'listed_count': 3}",https://pbs.twimg.com/profile_images/1427300147818471430/3_7hkgve_normal.jpg,
23,,False,🍰❤💋😈,cakecake_xii,,False,1024910937935888384,Anastasia RV. Clay ♡,880649329,"{'followers_count': 51, 'following_count': 445, 'tweet_count': 80189, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1306323132567793664/2T5IilxA_normal.jpg,
24,,False,つねに水星逆行してる #こどもの名言 #こども語録 #閉経物語 #更年期日記 #人生一口memo ※捨て垢ではございません,____even_me,https://t.co/duwOCcgsG4,False,1513774582255153154,わたむし,1960738093,"{'followers_count': 7, 'following_count': 196, 'tweet_count': 2762, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1466706229246320640/kLHLIc4t_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/duwOCcgsG4', 'expanded_url': 'https://note.com/uluwehi0811', 'display_url': 'note.com/uluwehi0811'}]}, 'description': {'hashtags': [{'start': 11, 'end': 18, 'tag': 'こどもの名言'}, {'start': 19, 'end': 25, 'tag': 'こども語録'}, {'start': 26, 'end': 31, 'tag': '閉経物語'}, {'start': 32, 'end': 38, 'tag': '更年期日記'}, {'start': 39, 'end': 48, 'tag': '人生一口memo'}]}}"
25,"Ontario, Canada",False,((Shaye/27/They)) Totally Normal Scum Villain Liker and Scientifically Oriented Monsterfucker. Basically all MXTX. Avid reptile mom. Expect to see 🐍 pics.,Direwife,,False,879355997067907074,ST☆RCUB🐍,713764490345623552,"{'followers_count': 88, 'following_count': 121, 'tweet_count': 23775, 'listed_count': 3}",https://pbs.twimg.com/profile_images/1476313932138795008/2CVbANTN_normal.jpg,
26,Malaysia ,False,"Malaysian, mixed-heritage, long time gamer, new-to-the-scene streamer, night owl. Lifelong Battlefield-er.

https://t.co/zJhIu5KjwO",Mental_Reaper,https://t.co/1hT1JUCpmq,False,1481640634473934850,P G V,209778088,"{'followers_count': 53, 'following_count': 186, 'tweet_count': 973, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1424723392200986632/8HX5Vb9B_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/1hT1JUCpmq', 'expanded_url': 'http://linktr.ee/MentalReap3r', 'display_url': 'linktr.ee/MentalReap3r'}]}, 'description': {'urls': [{'start': 108, 'end': 131, 'url': 'https://t.co/zJhIu5KjwO', 'expanded_url': 'https://store.cablemod.com?ref=59839', 'display_url': 'store.cablemod.com/?ref=59839'}]}}"
27,some secluded rendezvous,False,"18
he/him
will squirt if threatened",aw_salad,,False,1499244472210984962,0chomuerte,1178277499366604800,"{'followers_count': 115, 'following_count': 334, 'tweet_count': 2534, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1318377994180718592/f0_QzruP_normal.jpg,
28,"Alberta, Canada",False,"Ready to begin a career as a Technical Writer. Creative, loves to learn and turning the complex to the simple.",naomikrowe,https://t.co/FMhE9f0cba,False,1510033112847159298,Naomi Rowe-Schoffer (She/Her),17241191,"{'followers_count': 111, 'following_count': 1035, 'tweet_count': 7004, 'listed_count': 2}",https://pbs.twimg.com/profile_images/1520877175263555584/W5KdWujW_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/FMhE9f0cba', 'expanded_url': 'https://rowencommunication.com', 'display_url': 'rowencommunication.com'}]}}"
29,エトリアの樹海（枯レ森）,False,3DSを水没させた悲しみのゆかりさん。絡み重点、ＦＦ外とか気にせずどうぞ。俗に言うマスターは居なかったり腰や記憶力が怪しくなって来たアラサーだったり公式設定は投げ捨てるもの。最近はグラブルとかFGOとかデレステとか。よしのん、蘭子ちゃん、かみやん、聖ちゃん推し、久川姉妹担当。アイコンはトロメラ様の立ち絵です,Submerged_Yukar,https://t.co/PWHAThBdPN,False,1521049396141457408,ゆかりさん@水没P,947758823829250048,"{'followers_count': 67, 'following_count': 117, 'tweet_count': 3885, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1140277306448998400/LYYtfPqt_normal.png,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/PWHAThBdPN', 'expanded_url': 'http://www.nicovideo.jp/mylist/55196613', 'display_url': 'nicovideo.jp/mylist/55196613'}]}}"
30,Las Vegas,False,"Speaker, Writer, Contributor, Friend, Leader, Force for Good & a Channel of Light. Inspiring people 2 Make their Lives a Masterpiece",pablodibello,,False,,Pablo Dibello,38976349,"{'followers_count': 768, 'following_count': 1313, 'tweet_count': 1512, 'listed_count': 32}",https://pbs.twimg.com/profile_images/1430697990956584962/DRtJNqek_normal.jpg,
31,横浜,False,しがないサックス吹きでございます。,PastelLight,,False,,悠々,86707838,"{'followers_count': 231, 'following_count': 487, 'tweet_count': 26348, 'listed_count': 15}",https://pbs.twimg.com/profile_images/3575088090/a7d86cc8962e8385a152c4187d347bfe_normal.png,
32,she/her,False,,ava_really,,False,,🌸,848193493,"{'followers_count': 725, 'following_count': 837, 'tweet_count': 20142, 'listed_count': 5}",https://pbs.twimg.com/profile_images/1404114036472623106/FLWum57f_normal.jpg,
33,H7243,False,veryhotgorl 🧣🧣,yulisa5555,,False,1514120519829757954,yulisa5555,1213278469439639553,"{'followers_count': 81, 'following_count': 98, 'tweet_count': 6409, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1520627515752034304/2F_krsYB_normal.jpg,
34,,False,"Go Heels | Go Panthers | GTHD

he/him",JarrattEdwards,,False,,Jarratt,898952815,"{'followers_count': 36, 'following_count': 193, 'tweet_count': 1426, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1403864169426919427/BMF6dVwC_normal.jpg,
35,"Toronto, Ontario",False,"“I’m not saying you’re ugly, but at least you’re funny”",_JustinAllmark,,False,,Justin Allmark,530037192,"{'followers_count': 155, 'following_count': 266, 'tweet_count': 8712, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1481420563532898305/fU0hynlt_normal.jpg,
36,London (UK) & Nagpur (India),False,I came here to post Wordle scores and to read badly-formed opinions on current affairs. And I’ve just finished posting today’s Wordle score.,vihung,,False,,Vihung Marathe,1859301,"{'followers_count': 19, 'following_count': 2, 'tweet_count': 433, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1443670146/Vihung_Marathe_1_normal.jpg,
37,சென்னை,False,"iconoclast|| Dravidian Stock|| Velachery||
 
       The Sopranos - All time greatest show||
 ||DC fan||  ||Spidey fan||     
 ||Ambedkar-Periyar-Anna||",unamorously,,False,1114042864936206336,🕊️,50655021,"{'followers_count': 187, 'following_count': 742, 'tweet_count': 10099, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1428800641481134081/ZhuN6gm4_normal.jpg,
38,Upstate SC,False,"Learning to serve & serving to learn. Speaker, professor, preacher, & wannabe author. Limestone U. #FUallthetime",DrTom78,https://t.co/PUoDDdTCrv,False,,Chaplain “Dr T”,205952873,"{'followers_count': 682, 'following_count': 980, 'tweet_count': 21546, 'listed_count': 17}",https://pbs.twimg.com/profile_images/1488859426060750848/JlKNi79Q_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/PUoDDdTCrv', 'expanded_url': 'http://wwpblog.com', 'display_url': 'wwpblog.com'}]}, 'description': {'hashtags': [{'start': 99, 'end': 112, 'tag': 'FUallthetime'}]}}"
39,,False,,russellreed76,,False,,russell reed,2566331151,"{'followers_count': 34, 'following_count': 362, 'tweet_count': 898, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1117046140556468224/MVinOODu_normal.jpg,
40,,False,,fycwda,,False,,老傅,892250261640536064,"{'followers_count': 50, 'following_count': 924, 'tweet_count': 1847, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1355374589287645186/uy_PGpjx_normal.jpg,
41,Vancouver,False,"keep your gloves on, kid // she/her",chan_bing,,False,703515538429849600,Chandler ✨,236179082,"{'followers_count': 631, 'following_count': 413, 'tweet_count': 31209, 'listed_count': 3}",https://pbs.twimg.com/profile_images/1500352233006796805/b5DhF69C_normal.jpg,
42,New York,False,"I'm into Diaspora, art and cupcakes. Raised on vinyl and Coltrane. Working up the gumption to make brioche. || All opinions my own",OhLU27,,False,1317063136365678592,Olu,121894805,"{'followers_count': 391, 'following_count': 348, 'tweet_count': 29156, 'listed_count': 9}",https://pbs.twimg.com/profile_images/1507433433886339074/QQgz5ZTu_normal.jpg,
43,"Edmonton, AB, CANADA",False,"Husband, father, Business Owner & proud Canadian! 🇨🇦",BradRay5,,False,,Brad Ray,352785955,"{'followers_count': 93, 'following_count': 335, 'tweet_count': 654, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1494049897506508800/BDDc86VC_normal.jpg,
44,Earth C-137,False,Do people actually read this?,drinkmyjuiceb0x,,False,,william.,3379508494,"{'followers_count': 135, 'following_count': 669, 'tweet_count': 10284, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1517582301022072834/rspj36g8_normal.jpg,
45,,False,"NCT
SuperM

呪術廻戦

⊬   丰 

oh hi",siticollinsxo,,False,,natcuuu,138737895,"{'followers_count': 1429, 'following_count': 635, 'tweet_count': 24362, 'listed_count': 35}",https://pbs.twimg.com/profile_images/1430038299070984193/crYW40jU_normal.jpg,
46,"Dallas, TX",False,"Father of a beautiful 17 yr old girl class of 2023 😢. Moved to Dallas from Miami FL. Still love my Miami teams, but enjoy rooting for the Rangers",CharlesMilian,,False,1506770426382401538,Charles Milian,23792321,"{'followers_count': 303, 'following_count': 515, 'tweet_count': 51375, 'listed_count': 13}",https://pbs.twimg.com/profile_images/1307421037697675264/3FWpbNBo_normal.jpg,
47,,False,"Ge smak daun, gyon op nodotaim! ✊🏼💚💜
En la vida hay que Actuar 🎭",sarah_vallejos,,False,1410764330841292804,MissPicante🌶️,1329228620481630208,"{'followers_count': 70, 'following_count': 76, 'tweet_count': 1953, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1522959475258318848/Mm0JBI01_normal.jpg,
48,"Antrim, Northern Ireland",False,27 Northern Ireland Arsenal🔴⚪️,RichardWard94,,False,,Richard Ward,544355076,"{'followers_count': 447, 'following_count': 528, 'tweet_count': 12241, 'listed_count': 1}",https://pbs.twimg.com/profile_images/1294935850262945792/4jlRqUjQ_normal.jpg,
49,Void ,False,"I am an author. Anime, manga, youtube, music, and drawing are some of my hobbies. pronouns: she/they age: 24",JuliaNightmares,https://t.co/1E7cH89HmD,False,1326981894823534592,Julia Sanchez,2757953132,"{'followers_count': 71, 'following_count': 295, 'tweet_count': 11906, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1356031421442220032/gjYOUCse_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/1E7cH89HmD', 'expanded_url': 'https://linktr.ee/JuliaNightmare', 'display_url': 'linktr.ee/JuliaNightmare'}]}}"
50,Coyhaique,False,"Feliz madre de la Agustina desde el 25/10/2009, amante de la naturaleza y de mi Patagonia Ríos Libres, vamos por la descentralización real 🌳",Paula_Cruces,,False,1254429473316974594,Paula Cruces - 🌳 🇨🇱 x Constitución solidaria,69499941,"{'followers_count': 618, 'following_count': 405, 'tweet_count': 12715, 'listed_count': 4}",https://pbs.twimg.com/profile_images/1319977975962533888/nfD5BYUR_normal.jpg,
51,"Longview, WA",False,"French toast 
calling out creeps",notabotokay,,False,1296863022212759552,Justin Kennedy,480025357,"{'followers_count': 843, 'following_count': 691, 'tweet_count': 24416, 'listed_count': 3}",https://pbs.twimg.com/profile_images/1523450033034518530/IYe2uIim_normal.jpg,
52,,False,"Beer drinking genius. leader of Zippy, George and Bungle  Loves West Ham",BoffinGman,,False,,The Boffin,1191335498,"{'followers_count': 14, 'following_count': 95, 'tweet_count': 652, 'listed_count': 0}",https://pbs.twimg.com/profile_images/3271738690/9b08d13c9e4401dfbfd9ded0e5ea0359_normal.png,
53,Eating,False,live a little ✨ | 🌈👩‍❤️‍💋‍👩,kallmekaay_,,False,1375566475956641793,kiki.,49776678,"{'followers_count': 394, 'following_count': 369, 'tweet_count': 51712, 'listed_count': 5}",https://pbs.twimg.com/profile_images/1361530073325658115/Pch-Wgkk_normal.jpg,
54,Yorkshire and The Humber,False,"#StandWithUkraine Global HE. Passion for outdoors, the Wolds and my bike. @sheffhallamuni @ntfc supporter. v.much own opinions",JRGlobal,https://t.co/Ge7yKHmIna,False,1521458838053994496,James Richardson 🇺🇦,4705067896,"{'followers_count': 524, 'following_count': 352, 'tweet_count': 1532, 'listed_count': 11}",https://pbs.twimg.com/profile_images/1504162917897363466/1QYZeNau_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Ge7yKHmIna', 'expanded_url': 'http://www.shu.ac.uk/international', 'display_url': 'shu.ac.uk/international'}]}, 'description': {'hashtags': [{'start': 0, 'end': 17, 'tag': 'StandWithUkraine'}], 'mentions': [{'start': 74, 'end': 89, 'username': 'sheffhallamuni'}, {'start': 90, 'end': 95, 'username': 'ntfc'}]}}"
55,"Buenos Aires, Argentina",False,An old woman in a forest 🌳,catpersonhere,,False,,Fiona,1013958820790521857,"{'followers_count': 33, 'following_count': 144, 'tweet_count': 2812, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1482082401761308680/AWUP58NT_normal.jpg,
56,"Abington, PA",False,Check yourself before you heck yourself.,heckfam1,,False,,Dylan Hecker,769617404389318656,"{'followers_count': 124, 'following_count': 744, 'tweet_count': 1476, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1467709729954742277/v7me9pye_normal.jpg,
57,三 Σ＞―→  ◎◎◎◎l◎◎静岡,False,"本垢です。ゆっくり漫画かいてます。
pixiv https://t.co/4o6hRtXeUP ニコニコ漫画 https://t.co/5n2iqCmk0Z
創作垢は@hima____2nd",hima___________,,False,,北條円久,776228263,"{'followers_count': 1760, 'following_count': 2216, 'tweet_count': 40650, 'listed_count': 15}",https://pbs.twimg.com/profile_images/1056608986265411585/sHXQBfoO_normal.jpg,"{'description': {'urls': [{'start': 24, 'end': 47, 'url': 'https://t.co/4o6hRtXeUP', 'expanded_url': 'https://www.pixiv.net/users/17819014', 'display_url': 'pixiv.net/users/17819014'}, {'start': 55, 'end': 78, 'url': 'https://t.co/5n2iqCmk0Z', 'expanded_url': 'https://seiga.nicovideo.jp/comic/24095', 'display_url': 'seiga.nicovideo.jp/comic/24095'}], 'mentions': [{'start': 83, 'end': 95, 'username': 'hima____2nd'}]}}"
58,"Philadelphia, PA",False,✌️♥️😃,themegabut,,False,,Megan Butler,33792377,"{'followers_count': 88, 'following_count': 735, 'tweet_count': 498, 'listed_count': 0}",https://pbs.twimg.com/profile_images/850364050911440896/ZDIlmTeI_normal.jpg,
59,Upstate NY.,False,"Dad, spouse, former Solaris kernel adept, Ennie-winning designer for @koboldpress - Ars Magica designer, Sub Rosa fanzine co-editor - Opinions mine (he/him)",brickk,https://t.co/ImkRofWJZY,False,1518825759992860673,Ben McFarland - is an earthbound misfit,19701412,"{'followers_count': 1175, 'following_count': 1378, 'tweet_count': 21935, 'listed_count': 45}",https://pbs.twimg.com/profile_images/1518269838527025153/NoHk2EFh_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ImkRofWJZY', 'expanded_url': 'https://linktr.ee/BenMcFarland', 'display_url': 'linktr.ee/BenMcFarland'}]}, 'description': {'mentions': [{'start': 69, 'end': 81, 'username': 'koboldpress'}]}}"
60,Australia,False,"NRL Fan
Canberra Raiders Fan
That is all",SparkyDenied,,False,,░A░d░a░m░,1171043271193186312,"{'followers_count': 346, 'following_count': 373, 'tweet_count': 13976, 'listed_count': 2}",https://pbs.twimg.com/profile_images/1356942943672627200/cRyVEp6x_normal.jpg,
61,,False,Saved by His grace🇲🇽🎵,AnnieScr,,False,,keep growing,1220954579682066433,"{'followers_count': 55, 'following_count': 101, 'tweet_count': 1154, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1226319968397979649/zaDIigyt_normal.jpg,
62,Vadodara,False,,TheRushh,,False,,Rushabh Vakharwala,118017048,"{'followers_count': 255, 'following_count': 277, 'tweet_count': 771, 'listed_count': 4}",https://pbs.twimg.com/profile_images/1493252421925093379/nfp0B5dl_normal.jpg,
63,"Glenburn, ME",False,Opinions on anything hockey and baseball or anything else that’s on my mind.,DrewLally22,,False,,Drew Lally,986292149695270912,"{'followers_count': 154, 'following_count': 721, 'tweet_count': 9851, 'listed_count': 0}",https://pbs.twimg.com/profile_images/1498029414243778561/t29nSaGk_normal.jpg,
64,"Boston, MA",False,PhD candidate @BostonCollege; JD alum @UofSCLaw; MDIV alum @CandlerTheology @EmoryUniversity; undergrad alum @StillmanCollege; singer; scholar,ByronDWratee,,False,,Byron,868113024628002816,"{'followers_count': 190, 'following_count': 486, 'tweet_count': 288, 'listed_count': 3}",https://pbs.twimg.com/profile_images/1020752980197298176/Zha4keOe_normal.jpg,"{'description': {'mentions': [{'start': 14, 'end': 28, 'username': 'BostonCollege'}, {'start': 38, 'end': 47, 'username': 'UofSCLaw'}, {'start': 59, 'end': 75, 'username': 'CandlerTheology'}, {'start': 76, 'end': 92, 'username': 'EmoryUniversity'}, {'start': 109, 'end': 125, 'username': 'StillmanCollege'}]}}"
65,WI,False,"I am a web developer SyFy/Techie geek who loves to watch her shows/movies, play online games like Guild Wars 2, knit, crochet and spin her own yarn.",KnitterGirl39,https://t.co/5fA4MCbm5z,False,,Becky Boyce (AmbrosiaBlue),29224889,"{'followers_count': 134, 'following_count': 264, 'tweet_count': 3091, 'listed_count': 27}",https://pbs.twimg.com/profile_images/1227405756355342338/mRaExxcM_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/5fA4MCbm5z', 'expanded_url': 'http://beckyboyce.com', 'display_url': 'beckyboyce.com'}]}}"
66,He/him,False,CURRENTLY THINKING ABOUT SPIDERMAN x13!!!! piso notices 💪💪,bduolovr,,False,1518970982312067072,🏳️‍🌈 Lucifer/Luci 🍂🍂🍂,1429892946116038666,"{'followers_count': 308, 'following_count': 469, 'tweet_count': 5126, 'listed_count': 18}",https://pbs.twimg.com/profile_images/1506319849827364867/8jkdABbk_normal.jpg,
