,location,name,protected,url,verified,public_metrics,description,profile_image_url,username,id,pinned_tweet_id,entities
21,"Boston, MA",Kishie Shah,False,https://t.co/xQon8z443S,False,"{'followers_count': 114, 'following_count': 739, 'tweet_count': 3864, 'listed_count': 4}",The two most important days in your life are the day you are born and the day you find out why. -Mark Twain,https://pbs.twimg.com/profile_images/1102434645289906176/xoPnHQOz_normal.jpg,kishie617,379590196,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/xQon8z443S', 'expanded_url': 'https://www.facebook.com/Kishie?ref=tn_tnmn', 'display_url': 'facebook.com/Kishie?ref=tn_…'}]}}"
22,GRANADA ۞,Andrea 🥥,False,https://t.co/6TT5QivJO3,False,"{'followers_count': 2279, 'following_count': 693, 'tweet_count': 82303, 'listed_count': 23}","no es solo vivir, es sentirse vivo 🦋✨ UGR",https://pbs.twimg.com/profile_images/1399495515507724292/gkBKKA1k_normal.jpg,Andreoooo24,631264323,1504564038533062656,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/6TT5QivJO3', 'expanded_url': 'http://Instagram.com/andrrreomnx', 'display_url': 'Instagram.com/andrrreomnx'}]}}"
23,"Scottsdale, AZ",Benjamin Vodrazka,False,,False,"{'followers_count': 30, 'following_count': 125, 'tweet_count': 844, 'listed_count': 1}",Me/Myself and I,https://pbs.twimg.com/profile_images/1015166395204562944/eGpCSpLj_normal.jpg,BVodrazka,1015144891712618496,,
24,Jagera/Turrbal land (Brisbane),Bridget Harrington ♿️,False,https://t.co/1OPDK0g9vZ,False,"{'followers_count': 729, 'following_count': 3938, 'tweet_count': 3723, 'listed_count': 63}",Customer Searches officer 🔍 Disabled woman👩🏼‍🦼Dog lover 🐕 News junkie 🗞 (she/ her),https://pbs.twimg.com/profile_images/1420571265102798857/bpqK0GKR_normal.jpg,bm_harr,1572203736,1308937534437765127,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/1OPDK0g9vZ', 'expanded_url': 'http://au.linkedin.com/in/bmharrington', 'display_url': 'au.linkedin.com/in/bmharrington'}]}}"
25,大阪⇒笑顔の理由の許へ,かっさぁ/なふ°〜,False,,False,"{'followers_count': 160, 'following_count': 261, 'tweet_count': 6549, 'listed_count': 0}",つばき💦 お茶💎 W.🧡 ぴっ🤍 ちゅら👼🏻 じゃぽ🌷 4864🍦 てるてる💗 フラビ🥕 ペキサ🤍 セイラ🐹 なんキニ🍟 SPRISE🐶 FES☆🐷 maimai💜 タイトル未定 ビビ🌰 他。,https://pbs.twimg.com/profile_images/1484269162591834112/jFHr6hCf_normal.jpg,kasanapu,1078526876421746696,1523638054246060032,
26,,kýrios léxeon,False,https://t.co/QBB4pzzYLO,False,"{'followers_count': 837, 'following_count': 196, 'tweet_count': 21621, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1388619465982627841/OFPFC3rM_normal.jpg,indusganj,1586791758,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/QBB4pzzYLO', 'expanded_url': 'https://curiouscat.me/bhmnrhapsody', 'display_url': 'curiouscat.me/bhmnrhapsody'}]}}"
27,ｶﾅｶﾞ-ﾜ,涼川,False,https://t.co/TbRmscYVHg,False,"{'followers_count': 136, 'following_count': 126, 'tweet_count': 12326, 'listed_count': 6}",駅メモ/駅奪取/ﾏﾘｶ-。色々呟くよ。ﾀﾞｯﾁｭｰ1万回#5&3万回#6。 画像無断使用禁止。インスタ↓,https://pbs.twimg.com/profile_images/1150937870829404161/BkAlXk8w_normal.jpg,szar_,762631636840091648,1486321022496538624,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/TbRmscYVHg', 'expanded_url': 'https://www.instagram.com/szar_s/', 'display_url': 'instagram.com/szar_s/'}]}}"
28, 飯能の隣(山本さんと同郷と言っても過言ではない）,らいてぃん,False,https://t.co/hzuyfPwMFD,False,"{'followers_count': 264, 'following_count': 351, 'tweet_count': 9465, 'listed_count': 6}",QK/ｽﾌﾟﾛｰﾙｾﾝﾊﾟｲ寄り📦/物理コンビ大好き/20⬆️/乙4勉強中/ #QK学ぼうメイト社会人部/さよならはブロしてください/フォローの際は一言ください🙇‍♀️/鍵▷@litin_qk_yy お絵描き▷@litin_yy_pic,https://pbs.twimg.com/profile_images/1521455985872687105/CCwpDGvk_normal.jpg,litin_emmmmmi,1329424442712150016,1523515611631869955,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/hzuyfPwMFD', 'expanded_url': 'https://www.instagram.com/litin_drowsiness', 'display_url': 'instagram.com/litin_drowsine…'}]}, 'description': {'hashtags': [{'start': 39, 'end': 52, 'tag': 'QK学ぼうメイト社会人部'}], 'mentions': [{'start': 87, 'end': 99, 'username': 'litin_qk_yy'}, {'start': 105, 'end': 118, 'username': 'litin_yy_pic'}]}}"
29,Dyson Sphere,Tevfik Uyar,False,https://t.co/HAjXZt989Q,True,"{'followers_count': 110625, 'following_count': 2316, 'tweet_count': 29858, 'listed_count': 341}","Bilim(+kurgu) Yazarı & Bilimsel Şüpheci, PhD. @HBT_Dergi @Yalansavar / @AcikBilim.",https://pbs.twimg.com/profile_images/1508895432705024018/p45-Sdss_normal.jpg,tevfik_uyar,95736749,1522827127665700864,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/HAjXZt989Q', 'expanded_url': 'https://linktr.ee/tevfikuyar', 'display_url': 'linktr.ee/tevfikuyar'}]}, 'description': {'mentions': [{'start': 46, 'end': 56, 'username': 'HBT_Dergi'}, {'start': 57, 'end': 68, 'username': 'Yalansavar'}, {'start': 71, 'end': 81, 'username': 'AcikBilim'}]}}"
30,"Truro, NS, Canada.",Ashlie Dawn,False,https://t.co/1eSVwhojME,False,"{'followers_count': 94, 'following_count': 283, 'tweet_count': 15562, 'listed_count': 8}",,https://pbs.twimg.com/profile_images/1373624947961171971/_dILRuFO_normal.jpg,iamashleydawn,72196307,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/1eSVwhojME', 'expanded_url': 'http://tensrose.co.vu', 'display_url': 'tensrose.co.vu'}]}}"
31,19,lolz🫶🏽,False,,False,"{'followers_count': 6168, 'following_count': 2121, 'tweet_count': 20118, 'listed_count': 9}",🤍check pinned tweet//صباح الطبيعة,https://pbs.twimg.com/profile_images/1523289844109217794/JSib-Kbh_normal.jpg,itshalaaaaa,1123283320668852231,1500975991547650052,
32,仙台市青葉区,りがとに,False,,False,"{'followers_count': 131, 'following_count': 374, 'tweet_count': 65030, 'listed_count': 7}",日々の天気とローカル交通情報etc、時々突拍子も無い実況を開始することがアリ注意。,https://pbs.twimg.com/profile_images/494835848437723136/hbH_kRFw_normal.png,rigato_ni,266847842,,
33,,Nasha Smith,False,https://t.co/yLRUDUHs99,True,"{'followers_count': 1374, 'following_count': 740, 'tweet_count': 23607, 'listed_count': 13}",Freelance writer | @Forbes Contributor | Bylines: @InStyle @byshondaland @Thrillist @SportsIllustrated @thisisinsider ++| 🇱🇨 | Potato Stan |🍅,https://pbs.twimg.com/profile_images/1213177464765202433/jjnhDtR-_normal.jpg,nashasmith,22028113,1329485467578937346,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/yLRUDUHs99', 'expanded_url': 'http://nashasmith.pressfolios.com/', 'display_url': 'nashasmith.pressfolios.com'}]}, 'description': {'mentions': [{'start': 19, 'end': 26, 'username': 'Forbes'}, {'start': 50, 'end': 58, 'username': 'InStyle'}, {'start': 59, 'end': 72, 'username': 'byshondaland'}, {'start': 73, 'end': 83, 'username': 'Thrillist'}, {'start': 84, 'end': 102, 'username': 'SportsIllustrated'}, {'start': 103, 'end': 117, 'username': 'thisisinsider'}]}}"
34,"Pittsburgh, PA",Adam Rawlings 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇬🇧 🇨🇦,False,,False,"{'followers_count': 269, 'following_count': 2307, 'tweet_count': 14399, 'listed_count': 9}","Do not fear to be eccentric in opinion, for every opinion now accepted was once eccentric. (Bertrand Russell)",https://pbs.twimg.com/profile_images/116880375/263275_normal.jpg,ADHR,28023722,1346966190657327105,
35,,ハコニワポップ 6/11(土)桜ヶ丘INJAGO,False,https://t.co/jv9t5HLBDW,False,"{'followers_count': 262, 'following_count': 743, 'tweet_count': 9538, 'listed_count': 5}",東京を拠点に活動中。日常生活用ポップミュージックを創るおひとりさまバンドです。詳細は下記リンクのホームページにて。,https://pbs.twimg.com/profile_images/1442049724517736450/5CsqRSlI_normal.jpg,danozi,92288013,1518916019644903425,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/jv9t5HLBDW', 'expanded_url': 'https://hakoniwapop.crayonsite.com/', 'display_url': 'hakoniwapop.crayonsite.com'}]}}"
36,,JØTAA!,False,,False,"{'followers_count': 506, 'following_count': 472, 'tweet_count': 10311, 'listed_count': 1}",https://t.co/cnjXQKnmRE         Arlequín F.S.,https://pbs.twimg.com/profile_images/744659713955078144/SdFRqIlc_normal.jpg,017_jorge,561486428,1400583594813313024,"{'description': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/cnjXQKnmRE', 'expanded_url': 'http://WWW.TWITCH.TV/JSJ017', 'display_url': 'TWITCH.TV/JSJ017'}]}}"
37,Minnesota,Clay Schwartzwalter 🌻🇺🇦,False,,False,"{'followers_count': 744, 'following_count': 899, 'tweet_count': 11645, 'listed_count': 15}","Political Minnesotan, aspiring espresso snob, cider enthusiast | He/Him • ENTJ #BLM",https://pbs.twimg.com/profile_images/1060968590491435009/AT30hv27_normal.jpg,ClaytheSchwartz,475498237,1509004697834770436,"{'description': {'hashtags': [{'start': 79, 'end': 83, 'tag': 'BLM'}]}}"
38,,@remymartian,False,,False,"{'followers_count': 269, 'following_count': 163, 'tweet_count': 9477, 'listed_count': 1}",crafty lady,https://pbs.twimg.com/profile_images/1494288317361184774/B0fiBwzN_normal.jpg,remymartian,26699876,,
39,,たつお・ビッグボス,False,,False,"{'followers_count': 1130, 'following_count': 180, 'tweet_count': 172, 'listed_count': 78}",自社サイトの制作と運営の仕事をしています。現在サイトに関連するご質問はTwitterでもメールでもご返事しておりません。ご了承ください。,https://pbs.twimg.com/profile_images/1401640775817916417/DAjCLuw9_normal.png,tatsuo3t,88406223,1323125803165515777,
40,,S.A. Hurley,False,,False,"{'followers_count': 282, 'following_count': 330, 'tweet_count': 23634, 'listed_count': 31}",I'm what the French call les incompeténts,https://pbs.twimg.com/profile_images/1462563575193640963/RTplH3Ml_normal.jpg,sahurley,23718779,,
41,Republic of the Philippines,Jujubread,False,,False,"{'followers_count': 85, 'following_count': 244, 'tweet_count': 4465, 'listed_count': 0}","i am brood, 빵, pan, pão, brød, 面包, bread, pain, brot, báhn mì, pane, leipä, chléb, kruh, ขนมปัง, ψωμί, and last but not least tinapay | hosplay is life",https://pbs.twimg.com/profile_images/1460077409064321024/AxYiLTnp_normal.jpg,breadtinaps,2166478639,,
42,,King Kanté,False,,False,"{'followers_count': 139, 'following_count': 221, 'tweet_count': 5017, 'listed_count': 0}",Football x eSports,https://pbs.twimg.com/profile_images/1079428458499985408/8WbPv0rp_normal.jpg,BlueToeNail,289478606,,
43,,l001oo,False,,False,"{'followers_count': 455, 'following_count': 666, 'tweet_count': 29569, 'listed_count': 7}",01001110 01100101 01110101 01110010 01101111 01101101 01100001 01101110 01100011 01100101 01110010,https://pbs.twimg.com/profile_images/1440570300802887685/xu9_yqR6_normal.jpg,ddk1802,45686197,,
44,Turkey,mehmet uludağ,False,,False,"{'followers_count': 24, 'following_count': 115, 'tweet_count': 912, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/443530145094455296/vYE0JRNj_normal.jpeg,meuludag67,2384327335,,
45,"Tacoma, WA",Kris Anderson,False,,False,"{'followers_count': 137, 'following_count': 335, 'tweet_count': 7113, 'listed_count': 3}","Wife, mother, grandmother. Midwest transplant to the Pacific Northwest. History, museums, art, anything old/interesting. And my Havanese Sammy.",https://pbs.twimg.com/profile_images/1412893336617111554/kpFU7O7i_normal.jpg,LouisaSusie,3269259986,,
46,,Armando,False,,False,"{'followers_count': 206, 'following_count': 306, 'tweet_count': 13554, 'listed_count': 0}",En boca cerrada no entran moscas,https://pbs.twimg.com/profile_images/1399876890979147782/QRwGQALi_normal.png,SiIenci0EsSalvd,1391715932746178560,1397037760419090434,
47,ﾏｲﾔﾉﾄｯﾌﾟｶﾞﾝ,沼鴨,False,,False,"{'followers_count': 3879, 'following_count': 1854, 'tweet_count': 205065, 'listed_count': 18}",虚言・妄言・放言・暴言,https://pbs.twimg.com/profile_images/1247658764951375873/upRSrgrD_normal.png,FAIRLADY310,2852813784,,
48,"Manila, PH",Fam Medina,False,,False,"{'followers_count': 60, 'following_count': 166, 'tweet_count': 1969, 'listed_count': 0}","LLM '23 @UPCollegeofLaw. Lawyer, teacher, gov't in-house counsel. Loves sunshine, clear skies, and good breakfasts. Likes/retweets do not mean agreeance. 🌻🌸",https://pbs.twimg.com/profile_images/1492724009846603777/GWofHMwF_normal.jpg,_famedina,1241939992852619265,1515873702680068099,"{'description': {'mentions': [{'start': 8, 'end': 23, 'username': 'UPCollegeofLaw'}]}}"
49,,Stef,False,,False,"{'followers_count': 551, 'following_count': 1718, 'tweet_count': 14111, 'listed_count': 27}","Un peu de tout, beaucoup de rien...",https://pbs.twimg.com/profile_images/1194602046349021186/KQ3E4k_c_normal.jpg,Crazyskippy,88158299,,
50,"Bucharest, Romania",Mircea MATEI,False,https://t.co/VmgVLUprCC,False,"{'followers_count': 16, 'following_count': 72, 'tweet_count': 232, 'listed_count': 0}",Building a world with a binary DNA,https://pbs.twimg.com/profile_images/1410139526786342915/f7IyMHLg_normal.jpg,MirceaMATEI2,996371455276351494,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/VmgVLUprCC', 'expanded_url': 'https://matei-tm.eu', 'display_url': 'matei-tm.eu'}]}}"
51,,⚜️JameisSZN⚜️🦂⚖️🦂,False,,False,"{'followers_count': 18, 'following_count': 227, 'tweet_count': 1198, 'listed_count': 0}","fuck jiggy im flawless, fuck pretty im gorgeous",https://pbs.twimg.com/profile_images/1511578528269053957/M7mMbTqU_normal.jpg,laqivies,1097799975801565184,1520685414868160512,
52,Dartmoor,Mr Hyde,False,,False,"{'followers_count': 175, 'following_count': 348, 'tweet_count': 13355, 'listed_count': 10}",“Mr Hyde is an embodiment of the destructive forces that lurk beneath the veneer of civilisation” (@stephen_collins),https://pbs.twimg.com/profile_images/1223372462114643968/h025w6Wt_normal.jpg,t9sus4,26454950,,"{'description': {'mentions': [{'start': 99, 'end': 115, 'username': 'stephen_collins'}]}}"
53,Amazon.co.jp アソシエイト参加,山田しいた 「万能会社員菅田くん」ｸﾞﾗｼﾞｬﾝむちゃ連載中,False,https://t.co/l0U5EfQcHc,False,"{'followers_count': 46887, 'following_count': 770, 'tweet_count': 99771, 'listed_count': 506}",漫画家で候💉💉💉連載中「万能会社員菅田くん」「ITおじさん+d」旧連載「乙女文藝ハッカソン」。掌編漫画はメディア欄。最近は宇宙とか霞が関とか。画像も発言も禁転載。 リプもDMも気付かないこと多いので ご依頼等は theeeta@gmail.comまで,https://pbs.twimg.com/profile_images/1079875057785028609/q_j8L_OE_normal.jpg,yamada_theta,111595381,1460444733596061698,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/l0U5EfQcHc', 'expanded_url': 'https://yamadatheta.fanbox.cc/', 'display_url': 'yamadatheta.fanbox.cc'}]}}"
54,Back in St Olaf....,♊️🦋 The St. Olaf Courier-Dispatch💤🕊,False,,False,"{'followers_count': 1858, 'following_count': 2376, 'tweet_count': 99077, 'listed_count': 25}",DC Native from UPT. KDY. l 1920 🕊l Est. 1981 |#DontMuteDC,https://pbs.twimg.com/profile_images/1341857471497908224/WF0NyNog_normal.jpg,geminibuttaflyy,27564699,1071563096886521856,"{'description': {'hashtags': [{'start': 46, 'end': 57, 'tag': 'DontMuteDC'}]}}"
55,Japan,Mar🐹🐻🐶🍋 2022 and 2023.,False,,False,"{'followers_count': 20, 'following_count': 159, 'tweet_count': 3314, 'listed_count': 0}","To make life more happy. Army, My Day, and Carat, but it doesn’t stop there. Baekhyun as my ultimate bias. 🇵🇭|🇯🇵",https://pbs.twimg.com/profile_images/1390153498390515714/pvFbmY_l_normal.jpg,lunaandhoshi,1061997209141436421,1438100292990431236,
56,"Redwood City, CA",Abby Cerow DeCastro,False,,False,"{'followers_count': 48, 'following_count': 362, 'tweet_count': 2602, 'listed_count': 1}","Dedicated wife, daughter, sister, swimmer and biker.  Enthusiastic supporter of the Cubs and Islanders (because I enjoy heartbreak...in droves).",https://pbs.twimg.com/profile_images/1423651445/IB3B5556_normal.jpg,adecastro10,232671221,,
57,,Paul Gustavo Bendezú,False,,False,"{'followers_count': 16, 'following_count': 133, 'tweet_count': 252, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/3288357311/09035cd079ac2db2645289a393733985_normal.jpeg,PGBC,21778230,,
